algoritmo,metric,value
tfidf,n_retrieved,1042.0
tfidf,n_gold,6.0
tfidf,P@5,0.6
tfidf,R@5,0.5
tfidf,F1@5,0.545455
tfidf,nDCG@5,0.514771
tfidf,P@10,0.5
tfidf,R@10,0.833333
tfidf,F1@10,0.625
tfidf,nDCG@10,0.655613
tfidf,P@20,0.3
tfidf,R@20,1.0
tfidf,F1@20,0.461538
tfidf,nDCG@20,0.740021
tfidf,P@50,0.12
tfidf,R@50,1.0
tfidf,F1@50,0.214286
tfidf,nDCG@50,0.740021
tfidf,AP,0.584758
tfidf,MRR,0.5
bbidf,n_retrieved,1042.0
bbidf,n_gold,6.0
bbidf,P@5,0.8
bbidf,R@5,0.666667
bbidf,F1@5,0.727273
bbidf,nDCG@5,0.786014
bbidf,P@10,0.6
bbidf,R@10,1.0
bbidf,F1@10,0.75
bbidf,nDCG@10,0.900172
bbidf,P@20,0.3
bbidf,R@20,1.0
bbidf,F1@20,0.461538
bbidf,nDCG@20,0.900172
bbidf,P@50,0.12
bbidf,R@50,1.0
bbidf,F1@50,0.214286
bbidf,nDCG@50,0.900172
bbidf,AP,0.786111
bbidf,MRR,1.0
textrank,n_retrieved,1042.0
textrank,n_gold,6.0
textrank,P@5,0.8
textrank,R@5,0.666667
textrank,F1@5,0.727273
textrank,nDCG@5,0.868795
textrank,P@10,0.5
textrank,R@10,0.833333
textrank,F1@10,0.625
textrank,nDCG@10,0.882937
textrank,P@20,0.3
textrank,R@20,1.0
textrank,F1@20,0.461538
textrank,nDCG@20,0.954173
textrank,P@50,0.12
textrank,R@50,1.0
textrank,F1@50,0.214286
textrank,nDCG@50,0.954173
textrank,AP,0.861111
textrank,MRR,1.0
