k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.458934,0.666667,0.8
10,tfidf,0.542097,0.428571,0.6
20,tfidf,0.545674,0.428571,0.6
50,tfidf,0.555073,0.538462,0.7
5,bbidf,0.503438,0.666667,0.8
10,bbidf,0.617903,0.538462,0.7
20,bbidf,0.628332,0.481481,0.65
50,bbidf,0.637976,0.666667,0.8
