rank,term,score,score_raw,in_gold
1,amazonía,0.296323,86.727242,false
2,sostenible,0.292172,85.512399,true
3,desarrollo,0.253348,74.149413,true
4,prohominum,0.196455,57.4982,false
5,turismo,0.184503,54.0,true
6,aeroportuario,0.183358,53.664987,false
7,comunidad,0.16049,46.972053,true
8,infraestructura,0.155561,45.529375,true
9,humanas,0.13225,38.706756,false
10,perpetuar,0.13097,38.332133,false
11,nativo,0.129166,37.804182,true
12,geopolítico,0.128828,37.705231,false
13,biodiversidad,0.125551,36.74617,false
14,económico,0.115702,33.863573,false
15,peruano,0.111387,32.600438,false
16,original,0.104626,30.621808,false
17,artículo,0.101261,29.636762,false
18,volumen,0.100524,29.421168,false
19,local,0.095005,27.80603,false
20,forestal,0.089697,26.252304,false
21,falta,0.086071,25.191247,false
22,política,0.08554,25.035594,false
23,sociales,0.083846,24.539832,false
24,diagrama,0.083604,24.46919,false
25,visión,0.083369,24.400407,false
26,asegurar,0.08099,23.704061,false
27,social,0.080931,23.686618,false
28,sankey,0.078582,22.99928,false
29,entrevista,0.071906,21.045262,false
30,perú,0.070374,20.597059,false
31,salud,0.069751,20.414539,false
32,socioeconómico,0.069751,20.414539,false
33,revista,0.069199,20.252937,false
34,inversión,0.067986,19.898167,false
35,esencial,0.06486,18.983059,false
36,ilegal,0.064372,18.840397,false
37,minam,0.064372,18.840397,false
38,brecha,0.061717,18.063153,false
39,ciencias,0.061201,17.91234,false
40,cooperación,0.060784,17.790203,false
41,sustainable,0.059921,17.537718,false
42,ods,0.059798,17.501536,false
43,conectividad,0.058523,17.128433,false
44,interrelación,0.058523,17.128433,false
45,recurso,0.057666,16.877447,false
46,mejora,0.057121,16.718184,false
47,conservación,0.056333,16.487432,false
48,investigación,0.054668,16.0,false
49,turístico,0.054668,16.0,false
50,región,0.054358,15.909369,false
