rank,term,score,score_raw,in_gold
1,diseño,0.318724,36.319308,false
2,proyecto,0.299036,34.075785,false
3,ecolodge,0.249054,28.380289,true
4,natural,0.226674,25.83002,false
5,chachapoyas,0.219916,25.059955,false
6,tabla,0.207757,23.674391,false
7,caso,0.196575,22.400205,false
8,arquitectura,0.188216,21.447618,false
9,análisis,0.17711,20.182117,false
10,zona,0.162192,18.482187,false
11,vernácular,0.161916,18.450744,true
12,vivencial,0.161728,18.429236,false
13,contexto,0.155059,17.669345,false
14,entorno,0.13839,15.769869,false
15,aplicar,0.130846,14.910164,false
16,criterio,0.129583,14.766216,false
17,principal,0.114389,13.034869,false
18,utilizar,0.100741,11.479628,false
19,sistema,0.10024,11.422602,false
20,material,0.095056,10.83185,true
21,arquitectónico,0.09396,10.706934,false
22,nota,0.081616,9.300316,false
23,terreno,0.078203,8.911447,false
24,elaboración,0.078201,8.911218,false
25,base,0.076928,8.766117,false
26,forma,0.073659,8.393573,false
27,lugar,0.071449,8.141763,false
28,circulación,0.071125,8.104799,false
29,local,0.069555,7.925962,false
30,estructura,0.067781,7.723817,false
31,recurso,0.067729,7.717881,false
32,área,0.067669,7.711066,false
33,espacio,0.066195,7.54306,false
34,topografía,0.065295,7.440457,false
35,madera,0.064296,7.326724,false
36,agua,0.062523,7.124636,false
37,usuario,0.060957,6.946241,false
38,nacional,0.060632,6.909172,false
39,impacto,0.058387,6.653337,false
40,aprovechar,0.058217,6.634009,false
41,constructivo,0.05784,6.590973,false
42,adobe,0.055863,6.365728,false
43,estructural,0.055107,6.279533,false
44,seguir,0.054473,6.20731,false
45,tipo,0.053625,6.11065,false
46,tradicional,0.053382,6.082958,true
47,turista,0.047493,5.411978,false
48,demanda,0.047466,5.408892,false
49,relación,0.047055,5.362073,false
50,volumen,0.046497,5.298488,false
