k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.174523,0.25,0.4
10,tfidf,0.349803,0.538462,0.7
20,tfidf,0.471115,0.6,0.75
50,tfidf,0.505414,0.5625,0.72
5,bbidf,0.219028,0.25,0.4
10,bbidf,0.361261,0.538462,0.7
20,bbidf,0.476772,0.666667,0.8
50,bbidf,0.517932,0.666667,0.8
