algoritmo,metric,value
tfidf,n_retrieved,2129.0
tfidf,n_gold,5.0
tfidf,P@5,0.4
tfidf,R@5,0.4
tfidf,F1@5,0.4
tfidf,nDCG@5,0.553146
tfidf,P@10,0.2
tfidf,R@10,0.4
tfidf,F1@10,0.266667
tfidf,nDCG@10,0.553146
tfidf,P@20,0.1
tfidf,R@20,0.4
tfidf,F1@20,0.16
tfidf,nDCG@20,0.553146
tfidf,P@50,0.08
tfidf,R@50,0.8
tfidf,F1@50,0.145455
tfidf,nDCG@50,0.68077
tfidf,AP,0.439921
tfidf,MRR,1.0
bbidf,n_retrieved,2129.0
bbidf,n_gold,5.0
bbidf,P@5,0.4
bbidf,R@5,0.4
bbidf,F1@5,0.4
bbidf,nDCG@5,0.50874
bbidf,P@10,0.2
bbidf,R@10,0.4
bbidf,F1@10,0.266667
bbidf,nDCG@10,0.50874
bbidf,P@20,0.1
bbidf,R@20,0.4
bbidf,F1@20,0.16
bbidf,nDCG@20,0.50874
bbidf,P@50,0.08
bbidf,R@50,0.8
bbidf,F1@50,0.145455
bbidf,nDCG@50,0.6442
bbidf,AP,0.385954
bbidf,MRR,1.0
textrank,n_retrieved,2129.0
textrank,n_gold,5.0
textrank,P@5,0.2
textrank,R@5,0.2
textrank,F1@5,0.2
textrank,nDCG@5,0.16958
textrank,P@10,0.1
textrank,R@10,0.2
textrank,F1@10,0.133333
textrank,nDCG@10,0.16958
textrank,P@20,0.15
textrank,R@20,0.6
textrank,F1@20,0.24
textrank,nDCG@20,0.341403
textrank,P@50,0.08
textrank,R@50,0.8
textrank,F1@50,0.145455
textrank,nDCG@50,0.402463
textrank,AP,0.163409
textrank,MRR,0.333333
