k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.251071,0.428571,0.6
10,tfidf,0.358937,0.428571,0.6
20,tfidf,0.440024,0.6,0.75
50,tfidf,0.469279,0.538462,0.7
5,bbidf,0.569371,0.666667,0.8
10,bbidf,0.630773,0.666667,0.8
20,bbidf,0.666383,0.666667,0.8
50,bbidf,0.674883,0.639344,0.78
