algoritmo,metric,value
tfidf,n_retrieved,2266.0
tfidf,n_gold,5.0
tfidf,P@5,0.4
tfidf,R@5,0.4
tfidf,F1@5,0.4
tfidf,nDCG@5,0.383566
tfidf,P@10,0.3
tfidf,R@10,0.6
tfidf,F1@10,0.4
tfidf,nDCG@10,0.485664
tfidf,P@20,0.15
tfidf,R@20,0.6
tfidf,F1@20,0.24
tfidf,nDCG@20,0.485664
tfidf,P@50,0.06
tfidf,R@50,0.6
tfidf,F1@50,0.109091
tfidf,nDCG@50,0.485664
tfidf,AP,0.31851
tfidf,MRR,0.5
bbidf,n_retrieved,2266.0
bbidf,n_gold,5.0
bbidf,P@5,0.6
bbidf,R@5,0.6
bbidf,F1@5,0.6
bbidf,nDCG@5,0.529635
bbidf,P@10,0.3
bbidf,R@10,0.6
bbidf,F1@10,0.4
bbidf,nDCG@10,0.529635
bbidf,P@20,0.15
bbidf,R@20,0.6
bbidf,F1@20,0.24
bbidf,nDCG@20,0.529635
bbidf,P@50,0.08
bbidf,R@50,0.8
bbidf,F1@50,0.145455
bbidf,nDCG@50,0.593364
bbidf,AP,0.406352
bbidf,MRR,0.5
textrank,n_retrieved,2266.0
textrank,n_gold,5.0
textrank,P@5,0.6
textrank,R@5,0.6
textrank,F1@5,0.6
textrank,nDCG@5,0.49126
textrank,P@10,0.3
textrank,R@10,0.6
textrank,F1@10,0.4
textrank,nDCG@10,0.49126
textrank,P@20,0.15
textrank,R@20,0.6
textrank,F1@20,0.24
textrank,nDCG@20,0.49126
textrank,P@50,0.06
textrank,R@50,0.6
textrank,F1@50,0.109091
textrank,nDCG@50,0.49126
textrank,AP,0.337735
textrank,MRR,0.5
