doc_id,file,algorithm,n_tokens,n_gold,n_retrieved,P@5,R@5,F1@5,nDCG@5,P@10,R@10,F1@10,nDCG@10,P@20,R@20,F1@20,nDCG@20,P@50,R@50,F1@50,nDCG@50,AP,MRR
0,2011.pdf,tfidf,5700,14,2176,0.2,0.07142857142857142,0.10526315789473682,0.3391602052736161,0.2,0.14285714285714285,0.16666666666666666,0.28952298823485745,0.2,0.2857142857142857,0.23529411764705882,0.32382259040358624,0.1,0.35714285714285715,0.15625,0.35829316747093903,0.16016092385633715,1.0
0,2011.pdf,bbidf,5700,14,2176,0.2,0.07142857142857142,0.10526315789473682,0.3391602052736161,0.2,0.14285714285714285,0.16666666666666666,0.2934556883974402,0.1,0.14285714285714285,0.11764705882352941,0.2376137309262018,0.08,0.2857142857142857,0.125,0.3119608157561685,0.14237299510061766,1.0
0,2011.pdf,textrank,5700,14,2176,0.4,0.14285714285714285,0.21052631578947364,0.4703652827859579,0.2,0.14285714285714285,0.16666666666666666,0.30523488393970116,0.1,0.14285714285714285,0.11764705882352941,0.247151452329357,0.06,0.21428571428571427,0.09375,0.27872743375098225,0.1358185432201369,1.0
1,Chachapoyas Resort. una experiencia espléndida.pdf,tfidf,5756,5,1747,0.0,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.09803928583135704,0.05,0.2,0.08000000000000002,0.09803928583135704,0.02,0.2,0.03636363636363636,0.09803928583135704,0.035220621385388534,0.1
1,Chachapoyas Resort. una experiencia espléndida.pdf,bbidf,5756,5,1747,0.2,0.2,0.20000000000000004,0.14606834984270645,0.1,0.2,0.13333333333333333,0.14606834984270645,0.05,0.2,0.08000000000000002,0.14606834984270645,0.02,0.2,0.03636363636363636,0.14606834984270645,0.06604672620045882,0.25
1,Chachapoyas Resort. una experiencia espléndida.pdf,textrank,5756,5,1747,0.2,0.2,0.20000000000000004,0.3391602052736161,0.1,0.2,0.13333333333333333,0.3391602052736161,0.05,0.2,0.08000000000000002,0.3391602052736161,0.04,0.4,0.07272727272727272,0.40288902671324406,0.23000169954360458,1.0
2,Cultura turisticay conservación de recurso turistico.pdf,tfidf,5113,4,1305,0.6,0.75,0.6666666666666665,0.592512031964586,0.4,1.0,0.5714285714285715,0.7315682114753617,0.2,1.0,0.33333333333333337,0.7315682114753617,0.08,1.0,0.14814814814814814,0.7315682114753617,0.6083333333333333,0.5
2,Cultura turisticay conservación de recurso turistico.pdf,bbidf,5113,4,1305,0.6,0.75,0.6666666666666665,0.75369761125927,0.4,1.0,0.5714285714285715,0.8927537907700456,0.2,1.0,0.33333333333333337,0.8927537907700456,0.08,1.0,0.14814814814814814,0.8927537907700456,0.7708333333333333,1.0
2,Cultura turisticay conservación de recurso turistico.pdf,textrank,5113,4,1305,0.8,1.0,0.888888888888889,0.9828920819566879,0.4,1.0,0.5714285714285715,0.9828920819566879,0.2,1.0,0.33333333333333337,0.9828920819566879,0.08,1.0,0.14814814814814814,0.9828920819566879,0.95,1.0
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,tfidf,2463,7,1218,0.4,0.2857142857142857,0.3333333333333333,0.4703652827859579,0.3,0.42857142857142855,0.3529411764705882,0.46792684243864047,0.2,0.5714285714285714,0.29629629629629634,0.5338456138360194,0.08,0.5714285714285714,0.14035087719298248,0.5338456138360194,0.29948036842584297,1.0
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,bbidf,2463,7,1218,0.4,0.2857142857142857,0.3333333333333333,0.5531464700081437,0.3,0.42857142857142855,0.3529411764705882,0.5277610693352978,0.2,0.5714285714285714,0.29629629629629634,0.5936798407326767,0.08,0.5714285714285714,0.14035087719298248,0.5936798407326767,0.3854029641864248,1.0
