k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.503438,0.666667,0.8
10,tfidf,0.58337,0.538462,0.7
20,tfidf,0.616999,0.6,0.75
50,tfidf,0.635374,0.724138,0.84
5,bbidf,0.569371,0.666667,0.8
10,bbidf,0.662405,0.666667,0.8
20,bbidf,0.674863,0.666667,0.8
50,bbidf,0.688347,0.694915,0.82
