algoritmo,metric,value
tfidf,n_retrieved,1528.0
tfidf,n_gold,5.0
tfidf,P@5,0.4
tfidf,R@5,0.4
tfidf,F1@5,0.4
tfidf,nDCG@5,0.50874
tfidf,P@10,0.3
tfidf,R@10,0.6
tfidf,F1@10,0.4
tfidf,nDCG@10,0.621794
tfidf,P@20,0.25
tfidf,R@20,1.0
tfidf,F1@20,0.4
tfidf,nDCG@20,0.80548
tfidf,P@50,0.1
tfidf,R@50,1.0
tfidf,F1@50,0.181818
tfidf,nDCG@50,0.80548
tfidf,AP,0.568698
tfidf,MRR,1.0
bbidf,n_retrieved,1528.0
bbidf,n_gold,5.0
bbidf,P@5,0.4
bbidf,R@5,0.4
bbidf,F1@5,0.4
bbidf,nDCG@5,0.360055
bbidf,P@10,0.4
bbidf,R@10,0.8
bbidf,F1@10,0.533333
bbidf,nDCG@10,0.593919
bbidf,P@20,0.25
bbidf,R@20,1.0
bbidf,F1@20,0.4
bbidf,nDCG@20,0.683
bbidf,P@50,0.1
bbidf,R@50,1.0
bbidf,F1@50,0.181818
bbidf,nDCG@50,0.683
bbidf,AP,0.491209
bbidf,MRR,0.5
textrank,n_retrieved,1528.0
textrank,n_gold,5.0
textrank,P@5,0.4
textrank,R@5,0.4
textrank,F1@5,0.4
textrank,nDCG@5,0.300785
textrank,P@10,0.5
textrank,R@10,1.0
textrank,F1@10,0.666667
textrank,nDCG@10,0.630687
textrank,P@20,0.25
textrank,R@20,1.0
textrank,F1@20,0.4
textrank,nDCG@20,0.630687
textrank,P@50,0.1
textrank,R@50,1.0
textrank,F1@50,0.181818
textrank,nDCG@50,0.630687
textrank,AP,0.457778
textrank,MRR,0.333333
