k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.503438,0.666667,0.8
10,tfidf,0.63692,0.666667,0.8
20,tfidf,0.700575,0.818182,0.9
50,tfidf,0.71578,0.666667,0.8
5,bbidf,0.792137,0.666667,0.8
10,bbidf,0.840907,0.818182,0.9
20,bbidf,0.852086,0.666667,0.8
50,bbidf,0.844347,0.724138,0.84
