rank,term,score,score_raw,in_gold
1,turístico,0.699808,911.781031,true
2,sholón,0.311858,406.320614,false
3,recurso,0.311052,405.269655,true
4,conservación,0.217859,283.849541,true
5,colcamar,0.194547,253.476189,false
6,cultura,0.180919,235.720196,true
7,nivel,0.099608,129.779113,false
8,turismo,0.096547,125.791649,false
9,distrito,0.088152,114.853244,false
10,poblador,0.078878,102.770597,false
11,cultural,0.066979,87.267075,false
12,patrimonio,0.059416,77.413511,false
13,asociación,0.055431,72.221522,false
14,valor,0.051706,67.367978,false
15,correlación,0.050054,65.215807,false
16,variable,0.048173,62.765157,false
17,conocimiento,0.047533,61.930809,false
18,investigación,0.04745,61.822551,false
19,proteger,0.047073,61.331414,false
20,sitio,0.047015,61.255375,false
21,comunitario,0.044776,58.338452,false
22,participación,0.044376,57.818161,false
23,capacitación,0.044131,57.4982,false
24,dimensión,0.043572,56.769908,false
25,fortalecimiento,0.043381,56.521191,false
26,distrital,0.042094,54.843972,false
27,actividad,0.041728,54.366926,false
28,visitante,0.041317,53.832218,false
29,comunidad,0.040646,52.958102,false
30,entrevista,0.039878,51.95742,false
31,tabla,0.037635,49.035279,false
32,arqueológico,0.037561,48.93838,false
33,encuestado,0.037561,48.93838,false
34,estrategia,0.036038,46.953439,false
35,fortalecer,0.035821,46.670762,false
36,organización,0.035683,46.491461,false
37,resultado,0.035244,45.918848,false
38,alto,0.034765,45.295277,false
39,local,0.034765,45.295277,false
40,positivo,0.033965,44.253583,false
41,municipalidad,0.033582,43.753839,false
42,débil,0.032363,42.165347,false
43,mejorar,0.031614,41.189635,false
44,acción,0.031343,40.836917,false
45,incendio,0.031267,40.737245,false
46,nación,0.031267,40.737245,false
47,representante,0.031267,40.737245,false
48,servicio,0.02977,38.787624,false
49,cuidar,0.029421,38.332133,false
50,patrimonial,0.029421,38.332133,false
