k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.569371,0.666667,0.8
10,tfidf,0.651831,0.818182,0.9
20,tfidf,0.70605,0.6,0.75
50,tfidf,0.712357,0.587302,0.74
5,bbidf,0.547943,0.666667,0.8
10,bbidf,0.650015,0.818182,0.9
20,bbidf,0.708437,0.666667,0.8
50,bbidf,0.719084,0.5625,0.72
