k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.747633,0.666667,0.8
10,tfidf,0.701141,0.333333,0.5
20,tfidf,0.663579,0.37931,0.55
50,tfidf,0.658725,0.587302,0.74
5,bbidf,0.923452,0.666667,0.8
10,bbidf,0.889343,0.666667,0.8
20,bbidf,0.825905,0.481481,0.65
50,bbidf,0.811921,0.785714,0.88
