rank,term,score,score_raw,in_gold
1,magdalena,0.596967,200.964234,false
2,shihual,0.341598,114.9964,false
3,distrito,0.1738,58.508483,false
4,turístico,0.166349,56.0,true
5,recurso,0.157089,52.882668,true
6,macro,0.146217,49.222819,false
7,fig,0.14255,47.988475,false
8,postgrado,0.14255,47.988475,false
9,tella,0.132368,44.560727,false
10,unt,0.132368,44.560727,false
11,arqueológico,0.112633,37.917056,true
12,desarrollo,0.104012,35.015001,false
13,machupirca,0.101822,34.277482,false
14,tecnología,0.084584,28.474588,false
15,turismo,0.083174,28.0,false
16,cultura,0.082632,27.817553,true
17,pongo,0.079706,26.832493,false
18,amazonas,0.07648,25.746324,false
19,vivo,0.075872,25.541583,true
20,escuela,0.070429,23.709409,false
21,ciencia,0.070413,23.704061,false
22,arquitectura,0.069917,23.536934,false
23,chachapoyas,0.064243,21.626912,true
24,prehispánico,0.061322,20.643603,false
25,provincia,0.059861,20.151868,false
26,circular,0.059452,20.013979,false
27,cultural,0.058408,19.66272,false
28,natural,0.058408,19.66272,false
29,ubicado,0.058258,19.61227,false
30,caverna,0.058149,19.575352,false
31,cartografía,0.056933,19.166067,false
32,chumaychada,0.056933,19.166067,false
33,sostenible,0.056819,19.127773,false
34,poblador,0.055427,18.659135,false
35,corresponder,0.05169,17.401137,false
36,molienda,0.050911,17.138741,false
37,población,0.05041,16.969994,false
38,región,0.05041,16.969994,false
39,tradicional,0.049579,16.690396,false
40,actividad,0.048947,16.477647,false
41,revista,0.046792,15.752284,false
42,caña,0.046638,15.700331,false
43,archaelogical,0.045546,15.332853,false
44,carnero,0.045546,15.332853,false
45,hatumpamba,0.045546,15.332853,false
46,geográfico,0.045467,15.306283,false
47,ancestral,0.044258,14.899257,false
48,desplazar,0.043324,14.584613,false
49,laguna,0.042449,14.290177,false
50,zona,0.041441,13.950904,false
