rank,term,score,score_raw,in_gold
1,magdalena,0.357391,19.751114,false
2,turístico,0.309374,17.097468,true
3,distrito,0.270818,14.96671,false
4,recurso,0.251395,13.893285,true
5,desarrollo,0.206642,11.420049,false
6,turismo,0.175627,9.706009,false
7,shihual,0.158246,8.745456,false
8,arqueológico,0.14946,8.259866,true
9,amazonas,0.142447,7.872279,false
10,cultura,0.122259,6.756615,true
11,chachapoyas,0.117695,6.504411,true
12,cultural,0.114311,6.317375,false
13,sostenible,0.107057,5.916465,false
14,natural,0.105392,5.824494,false
15,provincia,0.105009,5.803284,false
16,población,0.09843,5.439707,false
17,macro,0.097538,5.390425,false
18,actividad,0.096637,5.340602,false
19,región,0.091523,5.057984,false
20,ubicado,0.080612,4.455003,false
21,nacional,0.079968,4.419407,false
22,poblador,0.077843,4.301954,false
23,tecnología,0.075262,4.159365,false
24,importante,0.075068,4.148616,false
25,fig,0.073917,4.084993,false
26,zona,0.072404,4.001383,false
27,comunidad,0.071451,3.948708,false
28,arquitectura,0.067473,3.728871,false
29,tella,0.06702,3.703844,false
30,escuela,0.065266,3.606939,false
31,revista,0.062227,3.438948,false
32,perú,0.061623,3.405562,false
33,geográfico,0.061262,3.385651,false
34,unt,0.060838,3.362178,false
35,vivo,0.060336,3.334438,true
36,postgrado,0.060314,3.333235,false
37,económico,0.059102,3.266274,false
38,tradicional,0.058867,3.253249,false
39,ciencia,0.05857,3.236872,false
40,caso,0.058187,3.215665,false
41,corresponder,0.05771,3.189358,false
42,utilizar,0.057089,3.15502,false
43,identificar,0.053871,2.977162,false
44,técnica,0.053766,2.971349,false
45,machupirca,0.052081,2.878257,false
46,vida,0.05025,2.777057,false
47,generación,0.049793,2.751799,false
48,circular,0.049497,2.735455,false
49,sitio,0.0492,2.71903,false
50,chachapoya,0.048919,2.703473,false
