rank,term,score,score_raw,in_gold
1,turismo,0.409305,39.740453,true
2,turístico,0.349618,33.945266,false
3,comunitario,0.264078,25.639963,true
4,comunidad,0.229547,22.287271,false
5,desarrollo,0.208608,20.254222,true
6,sostenible,0.18165,17.636838,true
7,nivel,0.174145,16.908183,false
8,cultural,0.167054,16.21972,false
9,dimensión,0.153724,14.925455,false
10,actividad,0.151383,14.698151,false
11,resultado,0.11546,11.210244,false
12,indicador,0.107152,10.403608,false
13,local,0.105982,10.290037,false
14,bartolo,0.102105,9.913661,false
15,san,0.101852,9.889019,false
16,visitante,0.086229,8.372141,false
17,anexo,0.0853,8.282027,false
18,correlación,0.08336,8.093632,false
19,variable,0.082323,7.992928,false
20,social,0.081574,7.92021,false
21,económico,0.081271,7.890822,false
22,participación,0.079392,7.708314,false
23,población,0.073659,7.151706,false
24,gestión,0.06928,6.726542,false
25,investigación,0.068406,6.641708,false
26,ambiental,0.068241,6.625663,false
27,natural,0.067077,6.512622,false
28,revash,0.066594,6.465792,false
29,servicio,0.064937,6.304927,false
30,organización,0.062702,6.08784,false
31,alto,0.062283,6.047222,false
32,producto,0.062173,6.036562,false
33,permitir,0.059685,5.794994,false
34,relación,0.059474,5.774481,false
35,recurso,0.05884,5.712888,false
36,ods,0.057735,5.605582,false
37,objetivo,0.05703,5.53715,false
38,tabla,0.056672,5.50245,false
39,comunal,0.055471,5.385823,false
40,poblador,0.054569,5.298212,false
41,año,0.054501,5.291623,false
42,evidenciar,0.053736,5.217403,false
43,proceso,0.052547,5.101877,false
44,rural,0.050875,4.939613,false
45,mostrar,0.050789,4.931202,false
46,turista,0.049992,4.853889,false
47,valor,0.049513,4.807317,false
48,flujo,0.049495,4.805604,false
49,utilizar,0.048828,4.740866,false
50,sostenibilidad,0.046444,4.5094,false
