rank,term,score,score_raw,in_gold
1,turismo,0.331593,253.0,true
2,bartolo,0.311487,237.659227,false
3,comunitario,0.308515,235.392164,true
4,turístico,0.268682,205.0,false
5,comunidad,0.188986,144.193278,false
6,desarrollo,0.180869,138.000297,true
7,sostenible,0.174013,132.769251,true
8,dimensión,0.171211,130.631191,false
9,nivel,0.16252,124.0,false
10,ods,0.156745,119.593827,false
11,cultural,0.14174,108.144959,false
12,indicador,0.127921,97.601629,false
13,correlación,0.12427,94.816242,false
14,actividad,0.12013,91.656914,false
15,anexo,0.105347,80.377812,false
16,revash,0.104925,80.055916,false
17,desacuerdo,0.096322,73.492339,false
18,san,0.095705,73.021076,false
19,resultado,0.093134,71.059854,false
20,comunal,0.090352,68.937038,false
21,local,0.076937,58.701619,false
22,participación,0.075801,57.834612,false
23,variable,0.074437,56.79417,false
24,visitante,0.071399,54.476041,false
25,económico,0.070154,53.526293,false
26,ambiental,0.069814,53.267087,false
27,flujo,0.068957,52.613154,false
28,social,0.066139,50.462795,false
29,gestión,0.063803,48.680717,false
30,producto,0.061503,46.925768,false
31,tabla,0.061286,46.759899,false
32,población,0.059774,45.606859,false
33,poblador,0.058317,44.49486,false
34,neutral,0.057727,44.044542,false
35,alto,0.055837,42.602559,false
36,muesca,0.055264,42.165347,false
37,percentil,0.055264,42.165347,false
38,vocación,0.055264,42.165347,false
39,evidenciar,0.054834,41.837804,false
40,sostenibilidad,0.054688,41.725989,false
41,natural,0.054405,41.510186,false
42,organización,0.052973,40.417813,false
43,identidad,0.051833,39.548039,false
44,recurso,0.050139,38.255547,false
45,percepción,0.049219,37.55339,false
46,fortalecimiento,0.04882,37.249238,false
47,relación,0.048592,37.074707,false
48,permitir,0.047263,36.061237,false
49,asociación,0.046612,35.564114,false
50,rural,0.046543,35.511392,false
