algoritmo,metric,value
tfidf,n_retrieved,1354.0
tfidf,n_gold,10.0
tfidf,P@5,0.6
tfidf,R@5,0.3
tfidf,F1@5,0.4
tfidf,nDCG@5,0.722727
tfidf,P@10,0.4
tfidf,R@10,0.4
tfidf,F1@10,0.4
tfidf,nDCG@10,0.547398
tfidf,P@20,0.3
tfidf,R@20,0.6
tfidf,F1@20,0.4
tfidf,nDCG@20,0.657578
tfidf,P@50,0.16
tfidf,R@50,0.8
tfidf,F1@50,0.266667
tfidf,nDCG@50,0.740009
tfidf,AP,0.513585
tfidf,MRR,1.0
bbidf,n_retrieved,1354.0
bbidf,n_gold,10.0
bbidf,P@5,0.6
bbidf,R@5,0.3
bbidf,F1@5,0.4
bbidf,nDCG@5,0.722727
bbidf,P@10,0.5
bbidf,R@10,0.5
bbidf,F1@10,0.5
bbidf,nDCG@10,0.613653
bbidf,P@20,0.3
bbidf,R@20,0.6
bbidf,F1@20,0.4
bbidf,nDCG@20,0.663761
bbidf,P@50,0.16
bbidf,R@50,0.8
bbidf,F1@50,0.266667
bbidf,nDCG@50,0.747183
bbidf,AP,0.523009
bbidf,MRR,1.0
textrank,n_retrieved,1354.0
textrank,n_gold,10.0
textrank,P@5,0.8
textrank,R@5,0.4
textrank,F1@5,0.533333
textrank,nDCG@5,0.868795
textrank,P@10,0.5
textrank,R@10,0.5
textrank,F1@10,0.5
textrank,nDCG@10,0.627409
textrank,P@20,0.25
textrank,R@20,0.5
textrank,F1@20,0.333333
textrank,nDCG@20,0.627409
textrank,P@50,0.16
textrank,R@50,0.8
textrank,F1@50,0.266667
textrank,nDCG@50,0.758012
textrank,AP,0.532357
textrank,MRR,1.0
