rank,term,score,score_raw,in_gold
1,turístico,0.493946,38.961034,true
2,levanto,0.295203,23.284783,true
3,marketing,0.2877,22.692953,true
4,desarrollo,0.23138,18.250599,true
5,estrategia,0.186408,14.703314,false
6,nivel,0.161799,12.762236,false
7,turismo,0.155187,12.240668,false
8,investigación,0.152555,12.033103,false
9,destino,0.139673,11.016987,false
10,distrito,0.128638,10.146572,true
11,desacuerdo,0.121706,9.599811,false
12,dimensión,0.121526,9.585614,false
13,promoción,0.120875,9.534265,false
14,local,0.118103,9.315592,false
15,variable,0.1027,8.100708,false
16,totalmente,0.10203,8.047799,false
17,estar,0.095955,7.568674,false
18,amazonas,0.093509,7.375712,false
19,económico,0.08648,6.821263,false
20,valor,0.079041,6.234535,false
21,relación,0.07868,6.20606,false
22,resultado,0.078522,6.193583,false
23,social,0.078145,6.163874,false
24,turista,0.077112,6.082352,false
25,sostenible,0.070482,5.559413,false
26,digital,0.067725,5.341941,false
27,estudio,0.066958,5.281419,true
28,neutral,0.06102,4.813084,false
29,ambiental,0.060686,4.786756,false
30,servicio,0.060618,4.781351,false
31,población,0.058022,4.576587,false
32,chachapoyas,0.057372,4.525347,false
33,comunidad,0.057092,4.503285,false
34,producto,0.056671,4.470061,false
35,estrategias,0.056416,4.4499,true
36,viaje,0.055703,4.393714,true
37,precio,0.055315,4.363091,false
38,tours,0.053951,4.255504,false
39,tabla,0.053188,4.195339,false
40,actividad,0.051864,4.090881,false
41,agencia,0.051751,4.081972,false
42,poblador,0.051352,4.050507,false
43,objetivo,0.05101,4.023494,false
44,específico,0.050923,4.016674,false
45,cultural,0.050885,4.013642,false
46,visitante,0.050289,3.966677,false
47,mejorar,0.049707,3.920763,false
48,permitir,0.048384,3.816366,false
49,level,0.048297,3.809547,false
50,tesis,0.047325,3.732899,false
