rank,term,score,score_raw,in_gold
1,turístico,0.572276,829.515073,true
2,levanto,0.335799,486.74025,true
3,marketing,0.309786,449.035019,true
4,desacuerdo,0.256517,371.821694,false
5,totalmente,0.224835,325.897958,false
6,desarrollo,0.190757,276.501845,true
7,estar,0.165535,239.942377,false
8,turismo,0.126401,183.218271,false
9,distrito,0.120741,175.014468,true
10,destino,0.118855,172.279866,false
11,promoción,0.118729,172.098434,false
12,estrategia,0.118304,171.482125,false
13,neutral,0.113714,164.828174,false
14,dimensión,0.106814,154.827023,false
15,nivel,0.099213,143.809288,false
16,digital,0.070943,102.832447,false
17,valor,0.070419,102.072694,false
18,local,0.069008,100.027069,false
19,investigación,0.068994,100.007068,false
20,estrategias,0.066214,95.976951,true
21,precio,0.063849,92.549202,false
22,variable,0.059539,86.302091,false
23,poblador,0.057396,83.195245,false
24,plaza,0.055535,80.49748,false
25,turista,0.05523,80.055916,false
26,económico,0.052081,75.492128,false
27,social,0.051394,74.496284,false
28,producto,0.049847,72.252611,false
29,sostenible,0.049812,72.203214,false
30,viaje,0.048297,70.006143,true
31,encuestado,0.047267,68.513732,false
32,amazonas,0.046414,67.277482,false
33,ambiental,0.045579,66.066813,false
34,agencia,0.045492,65.941389,false
35,limitado,0.044957,65.164627,false
36,servicio,0.042252,61.243616,false
37,relación,0.040632,58.895596,false
38,visitante,0.038827,56.279137,false
39,visibilidad,0.037023,53.664987,false
40,beneficio,0.035845,51.95742,false
41,chachapoyas,0.03421,49.587684,false
42,comunitario,0.03421,49.587684,false
43,resultado,0.033791,48.980104,false
44,específico,0.033762,48.93838,false
45,comunidad,0.032476,47.073868,false
46,mejorar,0.032476,47.073868,false
47,fortalecer,0.032198,46.670762,false
48,oferta,0.032198,46.670762,false
49,correlacional,0.031734,45.99856,true
50,contribuir,0.030683,44.475509,false
