k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.647215,0.428571,0.6
10,tfidf,0.632297,0.428571,0.6
20,tfidf,0.669512,0.73913,0.85
50,tfidf,0.685105,0.754386,0.86
5,bbidf,0.891409,0.428571,0.6
10,bbidf,0.791779,0.538462,0.7
20,bbidf,0.790739,0.73913,0.85
50,bbidf,0.792072,0.666667,0.8
