k,algoritmo,rbo,jaccard,overlap
5,tfidf,1.0,1.0,1.0
10,tfidf,0.950763,0.818182,0.9
20,tfidf,0.901376,0.481481,0.65
50,tfidf,0.865907,0.538462,0.7
5,bbidf,0.890113,1.0,1.0
10,bbidf,0.896782,0.818182,0.9
20,bbidf,0.87608,0.538462,0.7
50,bbidf,0.849721,0.639344,0.78
