algoritmo,metric,value
tfidf,n_retrieved,1752.0
tfidf,n_gold,7.0
tfidf,P@5,0.6
tfidf,R@5,0.428571
tfidf,F1@5,0.5
tfidf,nDCG@5,0.654809
tfidf,P@10,0.4
tfidf,R@10,0.571429
tfidf,F1@10,0.470588
tfidf,nDCG@10,0.617411
tfidf,P@20,0.3
tfidf,R@20,0.857143
tfidf,F1@20,0.444444
tfidf,nDCG@20,0.754274
tfidf,P@50,0.12
tfidf,R@50,0.857143
tfidf,F1@50,0.210526
tfidf,nDCG@50,0.754274
tfidf,AP,0.522985
tfidf,MRR,1.0
bbidf,n_retrieved,1752.0
bbidf,n_gold,7.0
bbidf,P@5,0.6
bbidf,R@5,0.428571
bbidf,F1@5,0.5
bbidf,nDCG@5,0.699215
bbidf,P@10,0.3
bbidf,R@10,0.428571
bbidf,F1@10,0.352941
bbidf,nDCG@10,0.566687
bbidf,P@20,0.3
bbidf,R@20,0.857143
bbidf,F1@20,0.444444
bbidf,nDCG@20,0.780045
bbidf,P@50,0.12
bbidf,R@50,0.857143
bbidf,F1@50,0.210526
bbidf,nDCG@50,0.780045
bbidf,AP,0.5525
bbidf,MRR,1.0
textrank,n_retrieved,1752.0
textrank,n_gold,7.0
textrank,P@5,0.6
textrank,R@5,0.428571
textrank,F1@5,0.5
textrank,nDCG@5,0.654809
textrank,P@10,0.4
textrank,R@10,0.571429
textrank,F1@10,0.470588
textrank,nDCG@10,0.613443
textrank,P@20,0.25
textrank,R@20,0.714286
textrank,F1@20,0.37037
textrank,nDCG@20,0.6838
textrank,P@50,0.12
textrank,R@50,0.857143
textrank,F1@50,0.210526
textrank,nDCG@50,0.733286
textrank,AP,0.48174
textrank,MRR,1.0
