rank,term,score,score_raw,in_gold
1,funerario,0.398454,378.866815,true
2,turismo,0.267132,254.0,true
3,folclore,0.249854,237.571867,true
4,cementerio,0.234471,222.944698,false
5,ciudad,0.222763,211.812521,false
6,alternativo,0.194116,184.573361,true
7,chachapoyas,0.192791,183.313827,false
8,turista,0.182667,173.687358,false
9,actividad,0.175462,166.83618,false
10,difunto,0.173038,164.531915,false
11,turístico,0.147238,140.0,true
12,entierro,0.112282,106.76225,false
13,oferta,0.096425,91.684855,true
14,visitar,0.096425,91.684855,false
15,velorio,0.088691,84.330694,false
16,alma,0.084659,80.49748,false
17,tradición,0.083692,79.577917,false
18,cultura,0.082891,78.816399,false
19,diversificar,0.080835,76.861486,false
20,misa,0.079761,75.839988,false
21,culto,0.079309,75.410461,false
22,iglesia,0.078702,74.833061,false
23,museo,0.078194,74.350313,false
24,propuesta,0.076986,73.201222,false
25,muerte,0.069351,65.941389,false
26,familiar,0.065501,62.281005,false
27,ligado,0.064917,61.725492,false
28,tipo,0.064697,61.516228,false
29,tradicional,0.064362,61.198118,false
30,programa,0.062795,59.707801,false
31,elaboración,0.062338,59.273523,false
32,ritual,0.061355,58.338452,false
33,costumbre,0.061194,58.18593,false
34,altar,0.060471,57.4982,false
35,fúnebre,0.060471,57.4982,false
36,muerto,0.058287,55.42153,false
37,tumba,0.056141,53.381125,false
38,astronómico,0.054074,51.416224,false
39,vivo,0.053724,51.083166,false
40,casa,0.053489,50.859382,false
41,cuerpo,0.052151,49.587684,false
42,viaje,0.051429,48.900657,false
43,narración,0.049084,46.670762,false
44,cultural,0.048252,45.879679,false
45,cadáver,0.046865,44.560727,false
46,ataúd,0.044345,42.165347,false
47,deudo,0.044345,42.165347,false
48,persona,0.043656,41.510186,false
49,opinar,0.042097,40.027958,false
50,rezar,0.040314,38.332133,false
