algoritmo,metric,value
tfidf,n_retrieved,2750.0
tfidf,n_gold,8.0
tfidf,P@5,0.6
tfidf,R@5,0.375
tfidf,F1@5,0.461538
tfidf,nDCG@5,0.722727
tfidf,P@10,0.4
tfidf,R@10,0.5
tfidf,F1@10,0.444444
tfidf,nDCG@10,0.629103
tfidf,P@20,0.3
tfidf,R@20,0.75
tfidf,F1@20,0.428571
tfidf,nDCG@20,0.766095
tfidf,P@50,0.12
tfidf,R@50,0.75
tfidf,F1@50,0.206897
tfidf,nDCG@50,0.766095
tfidf,AP,0.58167
tfidf,MRR,1.0
bbidf,n_retrieved,2750.0
bbidf,n_gold,8.0
bbidf,P@5,0.6
bbidf,R@5,0.375
bbidf,F1@5,0.461538
bbidf,nDCG@5,0.699215
bbidf,P@10,0.5
bbidf,R@10,0.625
bbidf,F1@10,0.555556
bbidf,nDCG@10,0.691363
bbidf,P@20,0.3
bbidf,R@20,0.75
bbidf,F1@20,0.428571
bbidf,nDCG@20,0.759718
bbidf,P@50,0.12
bbidf,R@50,0.75
bbidf,F1@50,0.206897
bbidf,nDCG@50,0.759718
bbidf,AP,0.578468
bbidf,MRR,1.0
textrank,n_retrieved,2750.0
textrank,n_gold,8.0
textrank,P@5,0.4
textrank,R@5,0.25
textrank,F1@5,0.307692
textrank,nDCG@5,0.50874
textrank,P@10,0.5
textrank,R@10,0.625
textrank,F1@10,0.555556
textrank,nDCG@10,0.61664
textrank,P@20,0.3
textrank,R@20,0.75
textrank,F1@20,0.428571
textrank,nDCG@20,0.683075
textrank,P@50,0.12
textrank,R@50,0.75
textrank,F1@50,0.206897
textrank,nDCG@50,0.683075
textrank,AP,0.455591
textrank,MRR,1.0
