k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.537328,0.428571,0.6
10,tfidf,0.635574,0.818182,0.9
20,tfidf,0.668116,0.481481,0.65
50,tfidf,0.664884,0.5625,0.72
5,bbidf,0.569371,0.666667,0.8
10,bbidf,0.706776,0.818182,0.9
20,bbidf,0.744988,0.666667,0.8
50,bbidf,0.754515,0.724138,0.84
