algoritmo,metric,value
tfidf,n_retrieved,918.0
tfidf,n_gold,11.0
tfidf,P@5,1.0
tfidf,R@5,0.454545
tfidf,F1@5,0.625
tfidf,nDCG@5,1.0
tfidf,P@10,0.8
tfidf,R@10,0.727273
tfidf,F1@10,0.761905
tfidf,nDCG@10,0.866948
tfidf,P@20,0.4
tfidf,R@20,0.727273
tfidf,F1@20,0.516129
tfidf,nDCG@20,0.816802
tfidf,P@50,0.16
tfidf,R@50,0.727273
tfidf,F1@50,0.262295
tfidf,nDCG@50,0.816802
tfidf,AP,0.743178
tfidf,MRR,1.0
bbidf,n_retrieved,918.0
bbidf,n_gold,11.0
bbidf,P@5,1.0
bbidf,R@5,0.454545
bbidf,F1@5,0.625
bbidf,nDCG@5,1.0
bbidf,P@10,0.8
bbidf,R@10,0.727273
bbidf,F1@10,0.761905
bbidf,nDCG@10,0.870125
bbidf,P@20,0.4
bbidf,R@20,0.727273
bbidf,F1@20,0.516129
bbidf,nDCG@20,0.819795
bbidf,P@50,0.16
bbidf,R@50,0.727273
bbidf,F1@50,0.262295
bbidf,nDCG@50,0.819795
bbidf,AP,0.75762
bbidf,MRR,1.0
textrank,n_retrieved,918.0
textrank,n_gold,11.0
textrank,P@5,1.0
textrank,R@5,0.454545
textrank,F1@5,0.625
textrank,nDCG@5,1.0
textrank,P@10,0.8
textrank,R@10,0.727273
textrank,F1@10,0.761905
textrank,nDCG@10,0.866948
textrank,P@20,0.4
textrank,R@20,0.727273
textrank,F1@20,0.516129
textrank,nDCG@20,0.816802
textrank,P@50,0.16
textrank,R@50,0.727273
textrank,F1@50,0.262295
textrank,nDCG@50,0.816802
textrank,AP,0.743583
textrank,MRR,1.0
