algoritmo,metric,value
tfidf,n_retrieved,1600.0
tfidf,n_gold,4.0
tfidf,P@5,0.4
tfidf,R@5,0.5
tfidf,F1@5,0.444444
tfidf,nDCG@5,0.41443
tfidf,P@10,0.3
tfidf,R@10,0.75
tfidf,F1@10,0.428571
tfidf,nDCG@10,0.537581
tfidf,P@20,0.15
tfidf,R@20,0.75
tfidf,F1@20,0.25
tfidf,nDCG@20,0.537581
tfidf,P@50,0.06
tfidf,R@50,0.75
tfidf,F1@50,0.111111
tfidf,nDCG@50,0.537581
tfidf,AP,0.350647
tfidf,MRR,0.5
bbidf,n_retrieved,1600.0
bbidf,n_gold,4.0
bbidf,P@5,0.4
bbidf,R@5,0.5
bbidf,F1@5,0.444444
bbidf,nDCG@5,0.319147
bbidf,P@10,0.3
bbidf,R@10,0.75
bbidf,F1@10,0.428571
bbidf,nDCG@10,0.449274
bbidf,P@20,0.15
bbidf,R@20,0.75
bbidf,F1@20,0.25
bbidf,nDCG@20,0.449274
bbidf,P@50,0.06
bbidf,R@50,0.75
bbidf,F1@50,0.111111
bbidf,nDCG@50,0.449274
bbidf,AP,0.282976
bbidf,MRR,0.25
textrank,n_retrieved,1600.0
textrank,n_gold,4.0
textrank,P@5,0.2
textrank,R@5,0.25
textrank,F1@5,0.222222
textrank,nDCG@5,0.19519
textrank,P@10,0.3
textrank,R@10,0.75
textrank,F1@10,0.428571
textrank,nDCG@10,0.457397
textrank,P@20,0.15
textrank,R@20,0.75
textrank,F1@20,0.25
textrank,nDCG@20,0.457397
textrank,P@50,0.08
textrank,R@50,1.0
textrank,F1@50,0.148148
textrank,nDCG@50,0.526218
textrank,AP,0.280417
textrank,MRR,0.333333
