rank,term,score,score_raw,in_gold
1,turístico,0.366084,30.345861,false
2,yumbilla,0.329693,27.329325,false
3,capacidad,0.327705,27.164525,true
4,catarata,0.285415,23.658955,false
5,visitante,0.267242,22.152527,false
6,carga,0.250265,20.745235,true
7,recurso,0.151351,12.545947,false
8,conservación,0.149755,12.413631,true
9,investigación,0.117723,9.758466,false
10,natural,0.10439,8.653205,false
11,visita,0.103771,8.60188,false
12,tabla,0.096757,8.020524,false
13,cuispes,0.093977,7.790052,false
14,nivel,0.09139,7.575591,false
15,destino,0.090308,7.485951,false
16,gestión,0.08841,7.32855,false
17,manejo,0.086289,7.152784,false
18,resultado,0.084387,6.995101,false
19,amazonas,0.082315,6.823349,false
20,factor,0.077399,6.41583,false
21,sendero,0.072671,6.023904,false
22,ambiental,0.068723,5.696695,false
23,servicio,0.067527,5.597538,false
24,área,0.067099,5.562089,false
25,estrategia,0.066377,5.502227,false
26,nacional,0.064032,5.307784,false
27,estudio,0.062615,5.190327,false
28,actividad,0.061339,5.084612,false
29,entorno,0.060908,5.048846,false
30,físico,0.059251,4.911541,false
31,determinar,0.056952,4.720939,false
32,número,0.055968,4.639359,false
33,año,0.055775,4.623369,false
34,dato,0.055109,4.568137,false
35,diario,0.054556,4.522352,false
36,infraestructura,0.052004,4.310742,false
37,regular,0.050732,4.205317,false
38,evidenciar,0.048166,3.992672,false
39,recorrido,0.047774,3.960106,false
40,permitir,0.047518,3.938921,false
41,ruta,0.047064,3.901298,false
42,zona,0.044507,3.689287,false
43,persona,0.04441,3.681267,false
44,alto,0.044378,3.678635,false
45,figura,0.044209,3.664607,false
46,límite,0.043379,3.595849,false
47,efectivo,0.042523,3.524826,false
48,análisis,0.040135,3.326933,false
49,universidad,0.038353,3.179185,false
50,turismo,0.037917,3.143025,true
