k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.569371,0.666667,0.8
10,tfidf,0.687777,0.818182,0.9
20,tfidf,0.721737,0.666667,0.8
50,tfidf,0.729433,0.694915,0.82
5,bbidf,0.747633,0.666667,0.8
10,bbidf,0.809694,1.0,1.0
20,bbidf,0.829958,0.666667,0.8
50,bbidf,0.825723,0.612903,0.76
