k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.781522,0.428571,0.6
10,tfidf,0.686503,0.333333,0.5
20,tfidf,0.659988,0.428571,0.6
50,tfidf,0.657995,0.538462,0.7
5,bbidf,0.647215,0.428571,0.6
10,bbidf,0.681534,0.538462,0.7
20,bbidf,0.667332,0.428571,0.6
50,bbidf,0.666862,0.666667,0.8
