algoritmo,metric,value
tfidf,n_retrieved,2473.0
tfidf,n_gold,6.0
tfidf,P@5,0.6
tfidf,R@5,0.5
tfidf,F1@5,0.545455
tfidf,nDCG@5,0.654809
tfidf,P@10,0.3
tfidf,R@10,0.5
tfidf,F1@10,0.375
tfidf,nDCG@10,0.584227
tfidf,P@20,0.2
tfidf,R@20,0.666667
tfidf,F1@20,0.307692
tfidf,nDCG@20,0.658259
tfidf,P@50,0.1
tfidf,R@50,0.833333
tfidf,F1@50,0.178571
tfidf,nDCG@50,0.725154
tfidf,AP,0.49052
tfidf,MRR,1.0
bbidf,n_retrieved,2473.0
bbidf,n_gold,6.0
bbidf,P@5,0.4
bbidf,R@5,0.333333
bbidf,F1@5,0.363636
bbidf,nDCG@5,0.553146
bbidf,P@10,0.4
bbidf,R@10,0.666667
bbidf,F1@10,0.5
bbidf,nDCG@10,0.681862
bbidf,P@20,0.25
bbidf,R@20,0.833333
bbidf,F1@20,0.384615
bbidf,nDCG@20,0.751878
bbidf,P@50,0.1
bbidf,R@50,0.833333
bbidf,F1@50,0.178571
bbidf,nDCG@50,0.751878
bbidf,AP,0.524379
bbidf,MRR,1.0
textrank,n_retrieved,2473.0
textrank,n_gold,6.0
textrank,P@5,0.4
textrank,R@5,0.333333
textrank,F1@5,0.363636
textrank,nDCG@5,0.553146
textrank,P@10,0.3
textrank,R@10,0.5
textrank,F1@10,0.375
textrank,nDCG@10,0.594391
textrank,P@20,0.2
textrank,R@20,0.666667
textrank,F1@20,0.307692
textrank,nDCG@20,0.676165
textrank,P@50,0.1
textrank,R@50,0.833333
textrank,F1@50,0.178571
textrank,nDCG@50,0.733025
textrank,AP,0.486493
textrank,MRR,1.0
