algoritmo,metric,value
tfidf,n_retrieved,1279.0
tfidf,n_gold,6.0
tfidf,P@5,1.0
tfidf,R@5,0.833333
tfidf,F1@5,0.909091
tfidf,nDCG@5,1.0
tfidf,P@10,0.6
tfidf,R@10,1.0
tfidf,F1@10,0.75
tfidf,nDCG@10,0.993078
tfidf,P@20,0.3
tfidf,R@20,1.0
tfidf,F1@20,0.461538
tfidf,nDCG@20,0.993078
tfidf,P@50,0.12
tfidf,R@50,1.0
tfidf,F1@50,0.214286
tfidf,nDCG@50,0.993078
tfidf,AP,0.97619
tfidf,MRR,1.0
bbidf,n_retrieved,1279.0
bbidf,n_gold,6.0
bbidf,P@5,1.0
bbidf,R@5,0.833333
bbidf,F1@5,0.909091
bbidf,nDCG@5,1.0
bbidf,P@10,0.6
bbidf,R@10,1.0
bbidf,F1@10,0.75
bbidf,nDCG@10,1.0
bbidf,P@20,0.3
bbidf,R@20,1.0
bbidf,F1@20,0.461538
bbidf,nDCG@20,1.0
bbidf,P@50,0.12
bbidf,R@50,1.0
bbidf,F1@50,0.214286
bbidf,nDCG@50,1.0
bbidf,AP,1.0
bbidf,MRR,1.0
textrank,n_retrieved,1279.0
textrank,n_gold,6.0
textrank,P@5,1.0
textrank,R@5,0.833333
textrank,F1@5,0.909091
textrank,nDCG@5,1.0
textrank,P@10,0.6
textrank,R@10,1.0
textrank,F1@10,0.75
textrank,nDCG@10,1.0
textrank,P@20,0.3
textrank,R@20,1.0
textrank,F1@20,0.461538
textrank,nDCG@20,1.0
textrank,P@50,0.12
textrank,R@50,1.0
textrank,F1@50,0.214286
textrank,nDCG@50,1.0
textrank,AP,1.0
textrank,MRR,1.0
