k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.645918,1.0,1.0
10,tfidf,0.720555,0.538462,0.7
20,tfidf,0.736261,0.666667,0.8
50,tfidf,0.733469,0.5625,0.72
5,bbidf,0.438055,0.666667,0.8
10,bbidf,0.631557,0.818182,0.9
20,bbidf,0.680276,0.666667,0.8
50,bbidf,0.687936,0.492537,0.66
