variant,F1@5,F1@10,F1@20,F1@50,AP,MRR,time_s
textrank_window=2,0.4550445168866222,0.467089087096827,0.34941219773357884,0.18527706121579,0.5083979092946195,0.8277777777777777,4.1924
textrank_window=5,0.46245192429402954,0.4669470653758579,0.34941219773357884,0.18421294786000994,0.5102813871854432,0.8111111111111111,4.742
textrank_window=10,0.46245192429402954,0.4702803987091913,0.34941219773357884,0.1854475157612445,0.5118237344147328,0.8111111111111111,5.9133
bbidf_hard_band,0.041649831649831645,0.03646125116713352,0.039915855211325124,0.029025686233554646,0.026195984096070147,0.1290868426063411,NaN
tfidf,0.43179622521727784,0.4370925680213606,0.34825969228695575,0.18962212189281788,0.48801811581902604,0.7405555555555556,NaN
bbidf,0.44221950564055823,0.47702016479106263,0.34680725946197394,0.18982962376623388,0.4996864307820641,0.7472222222222221,NaN
textrank,0.4550445168866222,0.467089087096827,0.34941219773357884,0.18527706121579,0.5083979092946195,0.8277777777777777,NaN
