k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.528605,0.25,0.4
10,tfidf,0.572427,0.538462,0.7
20,tfidf,0.615506,0.73913,0.85
50,tfidf,0.630843,0.449275,0.62
5,bbidf,0.780972,0.428571,0.6
10,bbidf,0.729687,0.538462,0.7
20,bbidf,0.731824,0.818182,0.9
50,bbidf,0.743682,0.639344,0.78
