algoritmo,metric,value
tfidf,n_retrieved,1218.0
tfidf,n_gold,7.0
tfidf,P@5,0.4
tfidf,R@5,0.285714
tfidf,F1@5,0.333333
tfidf,nDCG@5,0.470365
tfidf,P@10,0.3
tfidf,R@10,0.428571
tfidf,F1@10,0.352941
tfidf,nDCG@10,0.467927
tfidf,P@20,0.2
tfidf,R@20,0.571429
tfidf,F1@20,0.296296
tfidf,nDCG@20,0.533846
tfidf,P@50,0.08
tfidf,R@50,0.571429
tfidf,F1@50,0.140351
tfidf,nDCG@50,0.533846
tfidf,AP,0.29948
tfidf,MRR,1.0
bbidf,n_retrieved,1218.0
bbidf,n_gold,7.0
bbidf,P@5,0.4
bbidf,R@5,0.285714
bbidf,F1@5,0.333333
bbidf,nDCG@5,0.553146
bbidf,P@10,0.3
bbidf,R@10,0.428571
bbidf,F1@10,0.352941
bbidf,nDCG@10,0.527761
bbidf,P@20,0.2
bbidf,R@20,0.571429
bbidf,F1@20,0.296296
bbidf,nDCG@20,0.59368
bbidf,P@50,0.08
bbidf,R@50,0.571429
bbidf,F1@50,0.140351
bbidf,nDCG@50,0.59368
bbidf,AP,0.385403
bbidf,MRR,1.0
textrank,n_retrieved,1218.0
textrank,n_gold,7.0
textrank,P@5,0.6
textrank,R@5,0.428571
textrank,F1@5,0.5
textrank,nDCG@5,0.684352
textrank,P@10,0.3
textrank,R@10,0.428571
textrank,F1@10,0.352941
textrank,nDCG@10,0.554641
textrank,P@20,0.2
textrank,R@20,0.571429
textrank,F1@20,0.296296
textrank,nDCG@20,0.631315
textrank,P@50,0.08
textrank,R@50,0.571429
textrank,F1@50,0.140351
textrank,nDCG@50,0.631315
textrank,AP,0.443542
textrank,MRR,1.0
