doc_id,metric,tfidf,bbidf,diff,improvement_pct
0,P@5,0.2,0.2,0.0,0.0
1,P@5,0.0,0.2,0.2,
2,P@5,0.6,0.6,0.0,0.0
3,P@5,0.4,0.4,0.0,0.0
4,P@5,0.4,0.4,0.0,0.0
5,P@5,1.0,1.0,0.0,0.0
6,P@5,0.6,0.6,0.0,0.0
7,P@5,0.4,0.4,0.0,0.0
8,P@5,0.2,0.4,0.2,100.0
9,P@5,0.4,0.4,0.0,0.0
11,P@5,0.4,0.4,0.0,0.0
13,P@5,0.6,0.4,-0.19999999999999996,-33.33333333333333
15,P@5,0.4,0.2,-0.2,-50.0
16,P@5,1.0,1.0,0.0,0.0
17,P@5,0.2,0.2,0.0,0.0
18,P@5,0.4,0.4,0.0,0.0
19,P@5,0.6,0.8,0.20000000000000007,33.33333333333335
20,P@5,0.8,0.6,-0.20000000000000007,-25.000000000000007
21,P@5,0.2,0.2,0.0,0.0
22,P@5,0.4,0.4,0.0,0.0
23,P@5,0.6,0.6,0.0,0.0
24,P@5,0.8,0.6,-0.20000000000000007,-25.000000000000007
25,P@5,1.0,1.0,0.0,0.0
26,P@5,0.6,0.6,0.0,0.0
27,P@5,0.6,0.6,0.0,0.0
28,P@5,0.2,0.2,0.0,0.0
29,P@5,0.4,0.6,0.19999999999999996,49.999999999999986
30,P@5,0.4,0.4,0.0,0.0
31,P@5,0.6,0.6,0.0,0.0
32,P@5,0.4,0.6,0.19999999999999996,49.999999999999986
0,R@5,0.07142857142857142,0.07142857142857142,0.0,0.0
1,R@5,0.0,0.2,0.2,
2,R@5,0.75,0.75,0.0,0.0
3,R@5,0.2857142857142857,0.2857142857142857,0.0,0.0
4,R@5,0.4,0.4,0.0,0.0
5,R@5,0.45454545454545453,0.45454545454545453,0.0,0.0
6,R@5,0.42857142857142855,0.42857142857142855,0.0,0.0
7,R@5,0.3333333333333333,0.3333333333333333,0.0,0.0
8,R@5,0.16666666666666666,0.3333333333333333,0.16666666666666666,100.0
9,R@5,0.4,0.4,0.0,0.0
11,R@5,0.5,0.5,0.0,0.0
13,R@5,0.5,0.3333333333333333,-0.16666666666666669,-33.333333333333336
15,R@5,0.2857142857142857,0.14285714285714285,-0.14285714285714285,-50.0
16,R@5,0.45454545454545453,0.45454545454545453,0.0,0.0
17,R@5,0.14285714285714285,0.14285714285714285,0.0,0.0
18,R@5,0.4,0.4,0.0,0.0
19,R@5,0.5,0.6666666666666666,0.16666666666666663,33.33333333333333
