doc_id,metric,textrank,bbidf,tfidf,bbidf_gap_to_textrank,bbidf_pct_of_textrank
0,P@5,0.4,0.2,0.2,-0.2,50.0
1,P@5,0.2,0.2,0.0,0.0,100.0
2,P@5,0.8,0.6,0.6,-0.20000000000000007,74.99999999999999
3,P@5,0.6,0.4,0.4,-0.19999999999999996,66.66666666666667
4,P@5,0.2,0.4,0.4,0.2,200.0
5,P@5,1.0,1.0,1.0,0.0,100.0
6,P@5,0.6,0.6,0.6,0.0,100.0
7,P@5,0.4,0.4,0.4,0.0,100.0
8,P@5,0.2,0.4,0.2,0.2,200.0
9,P@5,0.4,0.4,0.4,0.0,100.0
11,P@5,0.4,0.4,0.4,0.0,100.0
13,P@5,0.4,0.4,0.6,0.0,100.0
15,P@5,0.4,0.2,0.4,-0.2,50.0
16,P@5,1.0,1.0,1.0,0.0,100.0
17,P@5,0.2,0.2,0.2,0.0,100.0
18,P@5,0.4,0.4,0.4,0.0,100.0
19,P@5,0.8,0.8,0.6,0.0,100.0
20,P@5,0.6,0.6,0.8,0.0,100.0
21,P@5,0.2,0.2,0.2,0.0,100.0
22,P@5,0.2,0.4,0.4,0.2,200.0
23,P@5,0.8,0.6,0.6,-0.20000000000000007,74.99999999999999
24,P@5,0.8,0.6,0.8,-0.20000000000000007,74.99999999999999
25,P@5,1.0,1.0,1.0,0.0,100.0
26,P@5,0.6,0.6,0.6,0.0,100.0
27,P@5,0.6,0.6,0.6,0.0,100.0
28,P@5,0.4,0.2,0.2,-0.2,50.0
29,P@5,0.6,0.6,0.4,0.0,100.0
30,P@5,0.4,0.4,0.4,0.0,100.0
31,P@5,0.4,0.6,0.6,0.19999999999999996,149.99999999999997
32,P@5,0.6,0.6,0.4,0.0,100.0
0,R@5,0.14285714285714285,0.07142857142857142,0.07142857142857142,-0.07142857142857142,50.0
1,R@5,0.2,0.2,0.0,0.0,100.0
2,R@5,1.0,0.75,0.75,-0.25,75.0
3,R@5,0.42857142857142855,0.2857142857142857,0.2857142857142857,-0.14285714285714285,66.66666666666666
4,R@5,0.2,0.4,0.4,0.2,200.0
5,R@5,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,100.0
6,R@5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,100.0
7,R@5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,100.0
8,R@5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,200.0
9,R@5,0.4,0.4,0.4,0.0,100.0
11,R@5,0.5,0.5,0.5,0.0,100.0
13,R@5,0.3333333333333333,0.3333333333333333,0.5,0.0,100.0
15,R@5,0.2857142857142857,0.14285714285714285,0.2857142857142857,-0.14285714285714285,50.0
16,R@5,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,100.0
17,R@5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,100.0
18,R@5,0.4,0.4,0.4,0.0,100.0
19,R@5,0.6666666666666666,0.6666666666666666,0.5,0.0,100.0
20,R@5,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.0,100.0
21,R@5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,100.0
22,R@5,0.25,0.5,0.5,0.25,200.0
23,R@5,0.4,0.3,0.3,-0.10000000000000003,74.99999999999999
24,R@5,0.6666666666666666,0.5,0.6666666666666666,-0.16666666666666663,75.0
25,R@5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,100.0
26,R@5,0.75,0.75,0.75,0.0,100.0
27,R@5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,100.0
28,R@5,0.2857142857142857,0.14285714285714285,0.14285714285714285,-0.14285714285714285,50.0
29,R@5,0.6,0.6,0.4,0.0,100.0
30,R@5,0.5,0.5,0.5,0.0,100.0
31,R@5,0.25,0.375,0.375,0.125,150.0
32,R@5,0.75,0.75,0.5,0.0,100.0
0,F1@5,0.21052631578947364,0.10526315789473682,0.10526315789473682,-0.10526315789473682,50.0
1,F1@5,0.20000000000000004,0.20000000000000004,0.0,0.0,100.0
2,F1@5,0.888888888888889,0.6666666666666665,0.6666666666666665,-0.22222222222222243,74.99999999999997
3,F1@5,0.5,0.3333333333333333,0.3333333333333333,-0.16666666666666669,66.66666666666666
4,F1@5,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.20000000000000004,200.0
5,F1@5,0.625,0.625,0.625,0.0,100.0
6,F1@5,0.5,0.5,0.5,0.0,100.0
7,F1@5,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,100.0
8,F1@5,0.1818181818181818,0.3636363636363636,0.1818181818181818,0.1818181818181818,200.0
9,F1@5,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,100.0
11,F1@5,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.0,100.0
13,F1@5,0.3636363636363636,0.3636363636363636,0.5454545454545454,0.0,100.0
15,F1@5,0.3333333333333333,0.16666666666666666,0.3333333333333333,-0.16666666666666666,50.0
16,F1@5,0.625,0.625,0.625,0.0,100.0
17,F1@5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,100.0
18,F1@5,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,100.0
19,F1@5,0.7272727272727272,0.7272727272727272,0.5454545454545454,0.0,100.0
20,F1@5,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,100.0
21,F1@5,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,100.0
22,F1@5,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.22222222222222224,200.0
23,F1@5,0.5333333333333333,0.4,0.4,-0.1333333333333333,75.0
24,F1@5,0.7272727272727272,0.5454545454545454,0.7272727272727272,-0.18181818181818177,75.0
25,F1@5,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,100.0
26,F1@5,0.6666666666666665,0.6666666666666665,0.6666666666666665,0.0,100.0
27,F1@5,0.5,0.5,0.5,0.0,100.0
28,F1@5,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,50.0
29,F1@5,0.6,0.6,0.4000000000000001,0.0,100.0
30,F1@5,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.0,100.0
31,F1@5,0.3076923076923077,0.4615384615384615,0.4615384615384615,0.1538461538461538,149.99999999999997
32,F1@5,0.6666666666666665,0.6666666666666665,0.4444444444444445,0.0,100.0
0,nDCG@5,0.4703652827859579,0.3391602052736161,0.3391602052736161,-0.13120507751234178,72.10570543488701
1,nDCG@5,0.3391602052736161,0.14606834984270645,0.0,-0.19309185543090968,43.06765580733931
2,nDCG@5,0.9828920819566879,0.75369761125927,0.592512031964586,-0.22919447069741783,76.68162406587405
3,nDCG@5,0.6843515475204855,0.5531464700081437,0.4703652827859579,-0.1312050775123419,80.82782482370081
4,nDCG@5,0.16958010263680806,0.5087403079104241,0.5531464700081437,0.33916020527361607,299.99999999999994
5,nDCG@5,1.0,1.0,1.0,0.0,100.0
6,nDCG@5,0.6843515475204855,0.6843515475204855,0.7227265726449519,0.0,100.0
7,nDCG@5,0.36005461457723403,0.34519134224686937,0.27727342735504823,-0.014863272330364663,95.87193949789625
8,nDCG@5,0.16958010263680806,0.34519134224686937,0.3391602052736161,0.1756112396100613,203.55651216119983
9,nDCG@5,0.30078518014914984,0.36005461457723403,0.5087403079104241,0.05926943442808419,119.70490514150143
11,nDCG@5,0.5585075862632192,0.3973220069685352,0.5413996682199069,-0.16118557929468397,71.13994809396935
13,nDCG@5,0.5531464700081437,0.5531464700081437,0.6548086577531307,0.0,100.0
15,nDCG@5,0.27727342735504823,0.16958010263680806,0.30078518014914984,-0.10769332471824017,61.15988259475762
16,nDCG@5,1.0,1.0,1.0,0.0,100.0
17,nDCG@5,0.3391602052736161,0.16958010263680806,0.14606834984270645,-0.16958010263680806,50.0
18,nDCG@5,0.27727342735504823,0.27727342735504823,0.30078518014914984,0.0,100.0
19,nDCG@5,0.8687949224876582,0.7860137352654724,0.5147714448836774,-0.08278118722218586,90.47172294870751
20,nDCG@5,0.639945385422766,0.6843515475204855,0.6608397947263839,0.044406162097719526,106.9390549739465
21,nDCG@5,0.3391602052736161,0.21398626473452756,0.13120507751234178,-0.12517394053908856,63.092975357145754
22,nDCG@5,0.19519002499605084,0.3191471544989227,0.4144299250118475,0.12395712950287188,163.50587306158695
23,nDCG@5,0.8687949224876582,0.7227265726449519,0.7227265726449519,-0.14606834984270634,83.18724637288827
24,nDCG@5,0.7860137352654724,0.7227265726449519,0.8539316501572937,-0.06328716262052048,91.94833884179575
25,nDCG@5,1.0,1.0,1.0,0.0,100.0
26,nDCG@5,0.8318724637288826,0.8048099750039491,0.8318724637288826,-0.027062488724933442,96.74679834891693
27,nDCG@5,0.6548086577531307,0.6992148198508501,0.6548086577531307,0.044406162097719415,106.78154779597631
28,nDCG@5,0.4703652827859579,0.21398626473452756,0.14606834984270645,-0.2563790180514304,45.49363496112937
29,nDCG@5,0.4912596920895758,0.5296347172140421,0.38356636737133565,0.03837502512446628,107.8115558313441
30,nDCG@5,0.5855700749881525,0.5585075862632192,0.5855700749881525,-0.02706248872493333,95.37843720489288
31,nDCG@5,0.5087403079104241,0.6992148198508501,0.7227265726449519,0.19047451194042597,137.44042077632338
32,nDCG@5,0.7365896932159578,0.6096199500078984,0.5855700749881525,-0.12696974320805943,82.76248712445211
0,P@10,0.2,0.2,0.2,0.0,100.0
1,P@10,0.1,0.1,0.1,0.0,100.0
2,P@10,0.4,0.4,0.4,0.0,100.0
3,P@10,0.3,0.3,0.3,0.0,100.0
4,P@10,0.1,0.2,0.2,0.1,200.0
5,P@10,0.8,0.8,0.8,0.0,100.0
6,P@10,0.4,0.5,0.5,0.09999999999999998,125.0
7,P@10,0.4,0.3,0.2,-0.10000000000000003,74.99999999999999
8,P@10,0.2,0.3,0.3,0.09999999999999998,149.99999999999997
9,P@10,0.5,0.4,0.3,-0.09999999999999998,80.0
11,P@10,0.4,0.3,0.3,-0.10000000000000003,74.99999999999999
13,P@10,0.3,0.4,0.3,0.10000000000000003,133.33333333333334
15,P@10,0.4,0.4,0.4,0.0,100.0
16,P@10,0.8,0.8,0.8,0.0,100.0
17,P@10,0.1,0.2,0.2,0.1,200.0
18,P@10,0.5,0.5,0.5,0.0,100.0
19,P@10,0.5,0.6,0.5,0.09999999999999998,120.0
20,P@10,0.4,0.7,0.5,0.29999999999999993,174.99999999999997
21,P@10,0.2,0.1,0.1,-0.1,50.0
22,P@10,0.3,0.3,0.3,0.0,100.0
23,P@10,0.5,0.5,0.4,0.0,100.0
24,P@10,0.5,0.5,0.4,0.0,100.0
25,P@10,0.6,0.6,0.6,0.0,100.0
26,P@10,0.3,0.3,0.3,0.0,100.0
27,P@10,0.4,0.3,0.4,-0.10000000000000003,74.99999999999999
28,P@10,0.5,0.4,0.3,-0.09999999999999998,80.0
29,P@10,0.3,0.3,0.3,0.0,100.0
30,P@10,0.3,0.3,0.2,0.0,100.0
31,P@10,0.5,0.5,0.4,0.0,100.0
32,P@10,0.4,0.4,0.4,0.0,100.0
0,R@10,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,100.0
1,R@10,0.2,0.2,0.2,0.0,100.0
2,R@10,1.0,1.0,1.0,0.0,100.0
3,R@10,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,100.0
4,R@10,0.2,0.4,0.4,0.2,200.0
5,R@10,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,100.0
6,R@10,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.1428571428571429,125.0
7,R@10,0.6666666666666666,0.5,0.3333333333333333,-0.16666666666666663,75.0
8,R@10,0.3333333333333333,0.5,0.5,0.16666666666666669,150.0
9,R@10,1.0,0.8,0.6,-0.19999999999999996,80.0
11,R@10,1.0,0.75,0.75,-0.25,75.0
13,R@10,0.5,0.6666666666666666,0.5,0.16666666666666663,133.33333333333331
15,R@10,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,100.0
16,R@10,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,100.0
17,R@10,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,200.0
18,R@10,1.0,1.0,1.0,0.0,100.0
19,R@10,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666663,120.0
20,R@10,0.4444444444444444,0.7777777777777778,0.5555555555555556,0.33333333333333337,175.00000000000003
21,R@10,0.3333333333333333,0.16666666666666666,0.16666666666666666,-0.16666666666666666,50.0
