doc_id,doc,k,metric,algo,similarity
5,doc6,20,rbo,tfidf,0.721737
5,doc6,20,jaccard,tfidf,0.666667
5,doc6,20,overlap,tfidf,0.8
5,doc6,50,rbo,tfidf,0.729433
5,doc6,50,jaccard,tfidf,0.694915
5,doc6,50,overlap,tfidf,0.82
5,doc6,5,rbo,bbidf,0.747633
5,doc6,5,jaccard,bbidf,0.666667
5,doc6,5,overlap,bbidf,0.8
5,doc6,10,rbo,bbidf,0.809694
5,doc6,10,jaccard,bbidf,1.0
5,doc6,10,overlap,bbidf,1.0
5,doc6,20,rbo,bbidf,0.829958
5,doc6,20,jaccard,bbidf,0.666667
5,doc6,20,overlap,bbidf,0.8
5,doc6,50,rbo,bbidf,0.825723
5,doc6,50,jaccard,bbidf,0.612903
5,doc6,50,overlap,bbidf,0.76
6,doc7,5,rbo,tfidf,0.889563
6,doc7,5,jaccard,tfidf,1.0
6,doc7,5,overlap,tfidf,1.0
6,doc7,10,rbo,tfidf,0.845564
6,doc7,10,jaccard,tfidf,0.538462
6,doc7,10,overlap,tfidf,0.7
6,doc7,20,rbo,tfidf,0.844071
6,doc7,20,jaccard,tfidf,0.73913
6,doc7,20,overlap,tfidf,0.85
6,doc7,50,rbo,tfidf,0.840929
6,doc7,50,jaccard,tfidf,0.612903
6,doc7,50,overlap,tfidf,0.76
6,doc7,5,rbo,bbidf,0.825477
6,doc7,5,jaccard,bbidf,0.428571
6,doc7,5,overlap,bbidf,0.6
6,doc7,10,rbo,bbidf,0.818562
6,doc7,10,jaccard,bbidf,0.666667
6,doc7,10,overlap,bbidf,0.8
6,doc7,20,rbo,bbidf,0.825688
6,doc7,20,jaccard,bbidf,0.818182
6,doc7,20,overlap,bbidf,0.9
6,doc7,50,rbo,bbidf,0.824863
6,doc7,50,jaccard,bbidf,0.639344
6,doc7,50,overlap,bbidf,0.78
7,doc8,5,rbo,tfidf,0.747633
7,doc8,5,jaccard,tfidf,0.666667
7,doc8,5,overlap,tfidf,0.8
7,doc8,10,rbo,tfidf,0.701141
7,doc8,10,jaccard,tfidf,0.333333
7,doc8,10,overlap,tfidf,0.5
7,doc8,20,rbo,tfidf,0.663579
7,doc8,20,jaccard,tfidf,0.37931
7,doc8,20,overlap,tfidf,0.55
7,doc8,50,rbo,tfidf,0.658725
7,doc8,50,jaccard,tfidf,0.587302
7,doc8,50,overlap,tfidf,0.74
7,doc8,5,rbo,bbidf,0.923452
7,doc8,5,jaccard,bbidf,0.666667
7,doc8,5,overlap,bbidf,0.8
7,doc8,10,rbo,bbidf,0.889343
