rank,term,score,score_raw,in_gold
1,turístico,0.381753,277.647607,false
2,turista,0.379142,275.748154,true
3,chachapoyas,0.31283,227.519964,false
4,gráfico,0.304954,221.791666,false
5,turismo,0.263197,191.422074,true
6,operador,0.184468,134.162467,false
7,satisfacción,0.172458,125.427672,true
8,servicio,0.159994,116.362871,false
9,ciudad,0.157918,114.853244,false
10,viaje,0.148394,107.926137,false
11,oferta,0.136362,99.175369,true
12,distribución,0.112799,82.038032,false
13,destino,0.109039,79.303431,false
14,empresa,0.103619,75.361588,false
15,calidad,0.102429,74.496284,false
16,precio,0.098973,71.982713,false
17,elaboración,0.089599,65.164627,false
18,actividad,0.072341,52.613154,false
19,visitar,0.070237,51.083166,false
20,experiencia,0.067252,48.911855,false
21,sol,0.065982,47.988475,false
22,interpretación,0.06417,46.670762,false
23,fuente,0.063924,46.491461,false
24,relación,0.060734,44.171697,false
25,satisfecho,0.056556,41.132979,false
26,información,0.056552,41.12996,false
27,persona,0.053937,39.228223,false
28,paquete,0.051843,37.705231,false
29,recuperado,0.047435,34.49892,false
30,operadora,0.04713,34.277482,false
31,desarrollo,0.047102,34.256866,false
32,mayoría,0.044117,32.086149,false
33,nivel,0.043404,31.567892,false
34,cumplir,0.042417,30.849734,false
35,recomendar,0.042417,30.849734,false
36,capitulo,0.042164,30.665707,false
37,circuito,0.042164,30.665707,false
38,estancia,0.042164,30.665707,false
39,facultad,0.042164,30.665707,false
40,cliente,0.040106,29.169226,false
41,tomar,0.040106,29.169226,false
42,encuesta,0.040002,29.092965,false
43,encontrar,0.039297,28.580354,false
44,social,0.038045,27.670048,false
45,mes,0.037704,27.421986,false
46,programa,0.037704,27.421986,false
47,investigación,0.037501,27.274655,false
48,agregado,0.037341,27.158163,false
49,cifra,0.037341,27.158163,false
50,necesitar,0.037341,27.158163,false
