k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.747633,0.666667,0.8
10,tfidf,0.79209,0.818182,0.9
20,tfidf,0.821928,0.818182,0.9
50,tfidf,0.822401,0.5625,0.72
5,bbidf,0.679258,0.666667,0.8
10,bbidf,0.7491,0.818182,0.9
20,bbidf,0.787579,0.818182,0.9
50,bbidf,0.79272,0.612903,0.76
