k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.65783,0.666667,0.8
10,tfidf,0.758099,1.0,1.0
20,tfidf,0.754831,0.481481,0.65
50,tfidf,0.750423,0.5625,0.72
5,bbidf,0.679258,0.666667,0.8
10,bbidf,0.786681,1.0,1.0
20,bbidf,0.775894,0.538462,0.7
50,bbidf,0.771255,0.587302,0.74
