rank,term,score,score_raw,in_gold
1,textil,0.588875,418.423146,true
2,cultural,0.328997,233.767891,true
3,identidad,0.287198,204.067879,true
4,jalca,0.269151,191.244687,false
5,artesanía,0.230244,163.598877,false
6,asociación,0.216891,154.111161,false
7,artesanal,0.119821,85.13861,false
8,distrito,0.11243,79.886583,false
9,pertenencia,0.111609,79.303431,false
10,tradicional,0.109618,77.888513,false
11,artesano,0.087159,61.930809,false
12,color,0.072318,51.385299,false
13,diseño,0.070143,49.839782,false
14,tabla,0.069272,49.220946,false
15,artesanir,0.068874,48.93838,true
16,legado,0.065559,46.582719,false
17,maytuna,0.064737,45.99856,false
18,yachay,0.064737,45.99856,false
19,práctica,0.064596,45.898588,false
20,símbolo,0.061738,43.867656,false
21,técnica,0.060174,42.756199,false
22,artesana,0.059342,42.165347,false
23,pacha,0.057889,41.132979,false
24,tejido,0.057473,40.836917,false
25,tradición,0.057189,40.635532,false
26,relación,0.056526,40.164266,false
27,investigación,0.054887,39.0,false
28,sentido,0.05378,38.212992,false
29,nivel,0.05348,38.0,false
30,tinte,0.053065,37.705231,false
31,transmisión,0.053031,37.680794,false
32,material,0.051234,36.404281,false
33,estudio,0.049279,35.015001,false
34,quelucas,0.048241,34.277482,false
35,correlación,0.047658,33.862944,false
36,comunidad,0.044584,31.678826,false
37,entrevista,0.044428,31.567892,false
38,empleado,0.044167,31.382579,false
39,comunal,0.043815,31.132856,false
40,fibra,0.043417,30.849734,false
41,bordado,0.043158,30.665707,false
42,ñaupa,0.043158,30.665707,false
43,continuidad,0.042613,30.278767,false
44,dimensión,0.041053,29.170072,false
45,variable,0.040781,28.976617,false
46,telar,0.039773,28.260595,false
47,ancestral,0.038942,27.670048,false
48,cintura,0.038593,27.421986,false
49,saber,0.038486,27.346011,false
50,evidenciar,0.0381,27.07152,false
