k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.679258,0.666667,0.8
10,tfidf,0.76421,0.818182,0.9
20,tfidf,0.750054,0.428571,0.6
50,tfidf,0.74031,0.470588,0.64
5,bbidf,0.689873,1.0,1.0
10,bbidf,0.795832,1.0,1.0
20,bbidf,0.79681,0.538462,0.7
50,bbidf,0.795083,0.639344,0.78
