rank,term,score,score_raw,in_gold
1,textil,0.586531,774.00765,true
2,cultural,0.345165,455.491564,true
3,artesanía,0.290475,383.321334,false
4,identidad,0.267319,352.763536,true
5,asociación,0.247467,326.566881,false
6,jalca,0.223385,294.786348,false
7,distrito,0.147129,194.156675,false
8,artesanal,0.1372,181.054421,false
9,tradicional,0.123782,163.347666,false
10,diseño,0.089106,117.587845,false
11,práctica,0.085717,113.115692,false
12,pertenencia,0.084238,111.163187,false
13,técnica,0.083995,110.843059,false
14,sentido,0.070733,93.341524,false
15,artesano,0.069714,91.99712,false
16,tabla,0.059453,78.456447,false
17,artesanir,0.058095,76.664267,true
18,legado,0.058095,76.664267,false
19,tradición,0.057108,75.361588,false
20,material,0.05595,73.834228,false
21,investigación,0.053738,70.914103,false
22,nivel,0.050501,66.643328,false
23,color,0.049969,65.941389,false
24,símbolo,0.049381,65.164627,false
25,relación,0.048349,63.803562,false
26,empleado,0.046476,61.331414,false
27,dimensión,0.044975,59.350359,false
28,estudio,0.043623,57.567004,false
29,comunidad,0.043104,56.880924,false
30,reflejar,0.041998,55.42153,false
31,producción,0.04156,54.843972,false
32,tejido,0.040667,53.664987,false
33,continuidad,0.037762,49.831773,false
34,entrevista,0.0373,49.222819,false
35,variable,0.037158,49.035279,false
36,comunal,0.036365,47.988475,false
37,generación,0.035692,47.100992,false
38,fortalecer,0.035366,46.670762,false
39,correlación,0.0353,46.582719,false
40,turismo,0.035228,46.488218,false
41,maytuna,0.034857,45.99856,false
42,transmisión,0.034857,45.99856,false
43,yachay,0.034857,45.99856,false
44,evidenciar,0.034034,44.911985,false
45,valor,0.034034,44.911985,false
46,ancestral,0.033767,44.560727,false
47,cultura,0.033703,44.475509,false
48,concluir,0.033313,43.960926,false
49,elemento,0.032018,42.251733,false
50,artesana,0.031952,42.165347,false
