algoritmo,metric,value
tfidf,n_retrieved,1381.0
tfidf,n_gold,4.0
tfidf,P@5,0.6
tfidf,R@5,0.75
tfidf,F1@5,0.666667
tfidf,nDCG@5,0.831872
tfidf,P@10,0.3
tfidf,R@10,0.75
tfidf,F1@10,0.428571
tfidf,nDCG@10,0.831872
tfidf,P@20,0.2
tfidf,R@20,1.0
tfidf,F1@20,0.333333
tfidf,nDCG@20,0.929467
tfidf,P@50,0.08
tfidf,R@50,1.0
tfidf,F1@50,0.148148
tfidf,nDCG@50,0.929467
tfidf,AP,0.816667
tfidf,MRR,1.0
bbidf,n_retrieved,1381.0
bbidf,n_gold,4.0
bbidf,P@5,0.6
bbidf,R@5,0.75
bbidf,F1@5,0.666667
bbidf,nDCG@5,0.80481
bbidf,P@10,0.3
bbidf,R@10,0.75
bbidf,F1@10,0.428571
bbidf,nDCG@10,0.80481
bbidf,P@20,0.2
bbidf,R@20,1.0
bbidf,F1@20,0.333333
bbidf,nDCG@20,0.898428
bbidf,P@50,0.08
bbidf,R@50,1.0
bbidf,F1@50,0.148148
bbidf,nDCG@50,0.898428
bbidf,AP,0.746324
bbidf,MRR,1.0
textrank,n_retrieved,1381.0
textrank,n_gold,4.0
textrank,P@5,0.6
textrank,R@5,0.75
textrank,F1@5,0.666667
textrank,nDCG@5,0.831872
textrank,P@10,0.3
textrank,R@10,0.75
textrank,F1@10,0.428571
textrank,nDCG@10,0.831872
textrank,P@20,0.15
textrank,R@20,0.75
textrank,F1@20,0.25
textrank,nDCG@20,0.831872
textrank,P@50,0.08
textrank,R@50,1.0
textrank,F1@50,0.148148
textrank,nDCG@50,0.903378
textrank,AP,0.773256
textrank,MRR,1.0
