doc_id,file,algorithm,keywords
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",tfidf,"recurso, chuquibamba, turístico, jerarquización, cochabamba, punto, distrito, jerarquía, pueblo, particularidades"
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",bbidf,"turístico, recurso, chuquibamba, punto, pueblo, distrito, jerarquización, turismo, jerarquía, potencial"
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",textrank,"recurso, turístico, chuquibamba, distrito, turismo, pueblo, potencial, actividad, tabla, actual"
15,Potencial turistico colcamar.pdf,tfidf,"colcamar, turístico, arqueológico, perú, sitio, amazonas, turismo, distrito, taller, atractivo"
15,Potencial turistico colcamar.pdf,bbidf,"colcamar, turístico, turismo, perú, distrito, sitio, arqueológico, taller, amazonas, turista"
15,Potencial turistico colcamar.pdf,textrank,"colcamar, turístico, perú, turismo, amazonas, arqueológico, distrito, sitio, atractivo, turista"
16,Public Management of Tourism in Tourist Satisfaction.pdf,tfidf,"satisfaction, management, tourism, public, complex, archaeological, kuelap, visitor, tourist, influence"
16,Public Management of Tourism in Tourist Satisfaction.pdf,bbidf,"satisfaction, management, tourism, kuelap, public, tourist, archaeological, complex, visitor, experience"
16,Public Management of Tourism in Tourist Satisfaction.pdf,textrank,"tourism, satisfaction, management, tourist, kuelap, public, archaeological, turismo, complex, visitor"
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,tfidf,"hogar, porcentaje, jefe, turismo, variable, figura, turístico, kuelap, pobreza, visita"
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,bbidf,"hogar, turístico, turismo, porcentaje, jefe, kuelap, efecto, pobreza, variable, visita"
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,textrank,"turismo, hogar, turístico, variable, porcentaje, figura, nivel, resultado, turista, chachapoyas"
18,Turismo rural comunitario en kuelap.pdf,tfidf,"kuelap, chachapoyas, rural, provincia, comunitario, desarrollo, tabla, turismo, sostenible, figura"
18,Turismo rural comunitario en kuelap.pdf,bbidf,"kuelap, chachapoyas, provincia, desarrollo, turismo, rural, comunitario, tabla, sostenible, figura"
18,Turismo rural comunitario en kuelap.pdf,textrank,"chachapoyas, kuelap, provincia, rural, desarrollo, turismo, tabla, comunitario, sostenible, figura"
19,Turismo sostenioble.pdf,tfidf,"amazonía, sostenible, desarrollo, prohominum, turismo, aeroportuario, comunidad, infraestructura, humanas, perpetuar"
19,Turismo sostenioble.pdf,bbidf,"sostenible, amazonía, desarrollo, turismo, infraestructura, comunidad, peruano, artículo, nativo, biodiversidad"
19,Turismo sostenioble.pdf,textrank,"desarrollo, sostenible, turismo, comunidad, amazonía, infraestructura, económico, local, social, peruano"
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,tfidf,"cak, costo, excedente, valoración, económico, valor, kuélap, sociologia, visita, consumidor"
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,bbidf,"costo, valoración, cak, visita, consumidor, valor, complejo, económico, excedente, viaje"
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,textrank,"económico, valor, valoración, visita, costo, natural, perú, demanda, kuélap, viaje"
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",tfidf,"espíritu, catálogo, indexada, latindex, turismo, common, trimestral, turístico, emprendedor, creative"
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",bbidf,"turístico, turismo, espíritu, provincia, utcubamba, emprendedor, desarrollo, catálogo, científico, common"
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",textrank,"turismo, turístico, provincia, desarrollo, utcubamba, recurso, espíritu, actividad, sostenible, zona"
22,capacidad de carga turística.pdf,tfidf,"yumbilla, carga, catarata, capacidad, turístico, visitante, cuispes, conservación, recurso, sendero"
