rank,term,score,score_raw,in_gold
1,año,0.271782,135.940591,false
2,costo,0.224478,112.279963,false
3,caja,0.219724,109.902316,false
4,tabla,0.194352,97.211369,false
5,financiero,0.17142,85.741063,false
6,servicio,0.150693,75.373759,false
7,precio,0.148938,74.496284,false
8,depreciación,0.143913,71.982713,false
9,fuente,0.137589,68.819519,false
10,turismo,0.133951,67.0,true
11,turista,0.133221,66.634773,false
12,chachapoyas,0.131773,65.91059,false
13,cama,0.131213,65.630425,false
14,elaboración,0.130354,65.200876,false
15,proyecto,0.127928,63.98723,false
16,flujo,0.126226,63.135785,false
17,habitación,0.116634,58.338452,false
18,amortización,0.114954,57.4982,false
19,hospedaje,0.114477,57.259607,false
20,venta,0.113197,56.619096,false
21,gastos,0.107291,53.664987,false
22,económico,0.100462,50.249173,false
23,casita,0.099627,49.831773,false
24,personal,0.098124,49.079663,false
25,capital,0.094782,47.408121,false
26,balance,0.094168,47.100992,false
27,perú,0.092653,46.343383,false
28,zona,0.091282,45.657504,false
29,estrella,0.088057,44.044542,false
30,lujo,0.082236,41.132979,false
31,gasto,0.081628,40.829077,false
32,análisis,0.078458,39.243111,false
33,ingreso,0.07842,39.224541,false
34,capítulo,0.076597,38.312375,false
35,tasa,0.075581,37.804182,false
36,resort,0.075383,37.705231,false
37,mercado,0.069579,34.802274,false
38,imagen,0.069518,34.771658,false
39,hospedaj,0.069384,34.704716,false
40,residual,0.06853,34.277482,false
41,detalle,0.067918,33.971458,false
42,hotel,0.067701,33.862944,false
43,proyección,0.067067,33.545855,false
44,activo,0.065177,32.600438,false
45,demanda,0.064695,32.359361,false
46,internet,0.063597,31.809947,false
47,producto,0.06339,31.7066,false
48,mes,0.063113,31.567892,false
49,noche,0.062778,31.400662,false
50,administrativo,0.062742,31.382579,false
