algoritmo,metric,value
tfidf,n_retrieved,1747.0
tfidf,n_gold,5.0
tfidf,P@5,0.0
tfidf,R@5,0.0
tfidf,F1@5,0.0
tfidf,nDCG@5,0.0
tfidf,P@10,0.1
tfidf,R@10,0.2
tfidf,F1@10,0.133333
tfidf,nDCG@10,0.098039
tfidf,P@20,0.05
tfidf,R@20,0.2
tfidf,F1@20,0.08
tfidf,nDCG@20,0.098039
tfidf,P@50,0.02
tfidf,R@50,0.2
tfidf,F1@50,0.036364
tfidf,nDCG@50,0.098039
tfidf,AP,0.035221
tfidf,MRR,0.1
bbidf,n_retrieved,1747.0
bbidf,n_gold,5.0
bbidf,P@5,0.2
bbidf,R@5,0.2
bbidf,F1@5,0.2
bbidf,nDCG@5,0.146068
bbidf,P@10,0.1
bbidf,R@10,0.2
bbidf,F1@10,0.133333
bbidf,nDCG@10,0.146068
bbidf,P@20,0.05
bbidf,R@20,0.2
bbidf,F1@20,0.08
bbidf,nDCG@20,0.146068
bbidf,P@50,0.02
bbidf,R@50,0.2
bbidf,F1@50,0.036364
bbidf,nDCG@50,0.146068
bbidf,AP,0.066047
bbidf,MRR,0.25
textrank,n_retrieved,1747.0
textrank,n_gold,5.0
textrank,P@5,0.2
textrank,R@5,0.2
textrank,F1@5,0.2
textrank,nDCG@5,0.33916
textrank,P@10,0.1
textrank,R@10,0.2
textrank,F1@10,0.133333
textrank,nDCG@10,0.33916
textrank,P@20,0.05
textrank,R@20,0.2
textrank,F1@20,0.08
textrank,nDCG@20,0.33916
textrank,P@50,0.04
textrank,R@50,0.4
textrank,F1@50,0.072727
textrank,nDCG@50,0.402889
textrank,AP,0.230002
textrank,MRR,1.0
