rank,term,score,score_raw,in_gold
1,turismo,0.233391,17.153335,true
2,servicio,0.231101,16.985031,false
3,año,0.229748,16.885586,false
4,chachapoyas,0.218573,16.064244,false
5,tabla,0.208651,15.33503,false
6,turista,0.199513,14.663426,false
7,fuente,0.182934,13.444916,false
8,costo,0.163536,12.019262,false
9,perú,0.162989,11.979046,false
10,proyecto,0.15863,11.658685,false
11,económico,0.132936,9.77026,false
12,zona,0.129933,9.549575,false
13,elaboración,0.125448,9.219967,false
14,hospedaje,0.116811,8.585119,false
15,financiero,0.114662,8.427206,false
16,análisis,0.114313,8.401585,false
17,precio,0.114163,8.39057,false
18,personal,0.095761,7.038043,false
19,flujo,0.090432,6.64637,false
20,caja,0.089402,6.570723,false
21,ingreso,0.089162,6.553057,false
22,venta,0.086568,6.36243,false
23,turístico,0.08629,6.341968,false
24,producto,0.084854,6.236435,false
25,ciudad,0.083655,6.148292,false
26,valor,0.082637,6.073531,false
27,natural,0.080901,5.945936,false
28,imagen,0.079367,5.833157,false
29,ofrecer,0.076934,5.654342,false
30,capital,0.076221,5.601933,false
31,trabajo,0.075727,5.565605,false
32,hotel,0.07558,5.554813,false
33,mercado,0.074983,5.510929,false
34,sector,0.072523,5.330177,false
35,construcción,0.069215,5.087028,false
36,demanda,0.068925,5.065682,false
37,activo,0.065987,4.849813,false
38,lugar,0.064969,4.774966,false
39,experiencia,0.064689,4.754413,true
40,actividad,0.064153,4.714961,false
41,objetivo,0.064065,4.708524,false
42,habitación,0.064031,4.706029,false
43,cama,0.062774,4.61367,false
44,principal,0.061753,4.538584,false
45,inversión,0.061748,4.538265,false
46,nacional,0.060451,4.442915,false
47,cliente,0.060084,4.415973,false
48,promedio,0.05933,4.36049,false
49,oferta,0.058939,4.33181,false
50,país,0.058195,4.277139,false
