k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.174523,0.25,0.4
10,tfidf,0.299152,0.428571,0.6
20,tfidf,0.396159,0.6,0.75
50,tfidf,0.432199,0.449275,0.62
5,bbidf,0.295575,0.428571,0.6
10,bbidf,0.375262,0.428571,0.6
20,bbidf,0.468187,0.73913,0.85
50,bbidf,0.510063,0.639344,0.78
