k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.032043,0.111111,0.2
10,tfidf,0.125983,0.176471,0.3
20,tfidf,0.15984,0.176471,0.3
50,tfidf,0.179553,0.351351,0.52
5,bbidf,0.613326,0.666667,0.8
10,bbidf,0.650825,0.428571,0.6
20,bbidf,0.592309,0.176471,0.3
50,bbidf,0.563247,0.428571,0.6
