algoritmo,metric,value
tfidf,n_retrieved,929.0
tfidf,n_gold,6.0
tfidf,P@5,0.2
tfidf,R@5,0.166667
tfidf,F1@5,0.181818
tfidf,nDCG@5,0.131205
tfidf,P@10,0.1
tfidf,R@10,0.166667
tfidf,F1@10,0.125
tfidf,nDCG@10,0.117063
tfidf,P@20,0.05
tfidf,R@20,0.166667
tfidf,F1@20,0.076923
tfidf,nDCG@20,0.117063
tfidf,P@50,0.08
tfidf,R@50,0.666667
tfidf,F1@50,0.142857
tfidf,nDCG@50,0.295051
tfidf,AP,0.103345
tfidf,MRR,0.2
bbidf,n_retrieved,929.0
bbidf,n_gold,6.0
bbidf,P@5,0.2
bbidf,R@5,0.166667
bbidf,F1@5,0.181818
bbidf,nDCG@5,0.213986
bbidf,P@10,0.1
bbidf,R@10,0.166667
bbidf,F1@10,0.125
bbidf,nDCG@10,0.190921
bbidf,P@20,0.05
bbidf,R@20,0.166667
bbidf,F1@20,0.076923
bbidf,nDCG@20,0.190921
bbidf,P@50,0.08
bbidf,R@50,0.666667
bbidf,F1@50,0.142857
bbidf,nDCG@50,0.374375
bbidf,AP,0.155824
bbidf,MRR,0.5
textrank,n_retrieved,929.0
textrank,n_gold,6.0
textrank,P@5,0.2
textrank,R@5,0.166667
textrank,F1@5,0.181818
textrank,nDCG@5,0.33916
textrank,P@10,0.2
textrank,R@10,0.333333
textrank,F1@10,0.25
textrank,nDCG@10,0.393695
textrank,P@20,0.15
textrank,R@20,0.5
textrank,F1@20,0.230769
textrank,nDCG@20,0.471148
textrank,P@50,0.08
textrank,R@50,0.666667
textrank,F1@50,0.142857
textrank,nDCG@50,0.537147
textrank,AP,0.287573
textrank,MRR,1.0
