rank,term,score,score_raw,in_gold
1,colcamar,0.701341,300.806116,false
2,turístico,0.240148,103.0,false
3,arqueológico,0.143277,61.451781,true
4,perú,0.134464,57.671766,false
5,sitio,0.11828,50.730559,true
6,amazonas,0.117656,50.462795,true
7,turismo,0.116577,50.0,true
8,distrito,0.115428,49.507178,false
9,taller,0.11404,48.911855,false
10,atractivo,0.106883,45.842428,false
11,caballo,0.096986,41.597623,false
12,paseo,0.095175,40.82086,false
13,sholón,0.095175,40.82086,false
14,chamalca,0.089373,38.332133,false
15,puemal,0.089373,38.332133,false
16,forestal,0.088412,37.919994,false
17,pucasiugo,0.079919,34.277482,false
18,turista,0.076407,32.7712,false
19,anexo,0.073623,31.576998,false
20,típico,0.071396,30.621808,false
21,local,0.064831,27.80603,false
22,ecoturismo,0.064514,27.670048,false
23,comida,0.064023,27.459756,false
24,ocular,0.063935,27.421986,false
25,comunidad,0.063673,27.309333,true
26,cocha,0.062561,26.832493,false
27,reynel,0.062561,26.832493,false
28,tueta,0.062561,26.832493,false
29,autoridad,0.060668,26.02068,false
30,cuadro,0.05945,25.498345,false
31,camino,0.058734,25.191247,false
32,inspección,0.058569,25.120529,false
33,poblador,0.05689,24.400407,false
34,falta,0.055279,23.709409,false
35,potencial,0.055091,23.628426,false
36,desarrollo,0.052825,22.656765,false
37,bosque,0.052357,22.455993,false
38,natural,0.048391,20.755093,true
39,nacional,0.048023,20.597059,false
40,dad,0.047606,20.418458,false
41,probable,0.047606,20.418458,false
42,doi,0.045641,19.575352,false
43,estudio,0.045622,19.567206,false
44,encuestado,0.044915,19.263895,false
45,paisaje,0.044915,19.263895,true
46,choza,0.044686,19.166067,false
47,llo,0.044686,19.166067,false
48,población,0.044512,19.091243,false
49,presentar,0.044512,19.091243,false
50,construcción,0.043504,18.659135,false
