algoritmo,metric,value
tfidf,n_retrieved,1177.0
tfidf,n_gold,7.0
tfidf,P@5,0.4
tfidf,R@5,0.285714
tfidf,F1@5,0.333333
tfidf,nDCG@5,0.300785
tfidf,P@10,0.4
tfidf,R@10,0.571429
tfidf,F1@10,0.470588
tfidf,nDCG@10,0.433313
tfidf,P@20,0.2
tfidf,R@20,0.571429
tfidf,F1@20,0.296296
tfidf,nDCG@20,0.433313
tfidf,P@50,0.14
tfidf,R@50,1.0
tfidf,F1@50,0.245614
tfidf,nDCG@50,0.593563
tfidf,AP,0.331173
tfidf,MRR,0.333333
bbidf,n_retrieved,1177.0
bbidf,n_gold,7.0
bbidf,P@5,0.2
bbidf,R@5,0.142857
bbidf,F1@5,0.166667
bbidf,nDCG@5,0.16958
bbidf,P@10,0.4
bbidf,R@10,0.571429
bbidf,F1@10,0.470588
bbidf,nDCG@10,0.409723
bbidf,P@20,0.2
bbidf,R@20,0.571429
bbidf,F1@20,0.296296
bbidf,nDCG@20,0.409723
bbidf,P@50,0.14
bbidf,R@50,1.0
bbidf,F1@50,0.245614
bbidf,nDCG@50,0.579675
bbidf,AP,0.31055
bbidf,MRR,0.333333
textrank,n_retrieved,1177.0
textrank,n_gold,7.0
textrank,P@5,0.4
textrank,R@5,0.285714
textrank,F1@5,0.333333
textrank,nDCG@5,0.277273
textrank,P@10,0.4
textrank,R@10,0.571429
textrank,F1@10,0.470588
textrank,nDCG@10,0.409346
textrank,P@20,0.3
textrank,R@20,0.857143
textrank,F1@20,0.444444
textrank,nDCG@20,0.548337
textrank,P@50,0.14
textrank,R@50,1.0
textrank,F1@50,0.245614
textrank,nDCG@50,0.599986
textrank,AP,0.368498
textrank,MRR,0.25
