k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.825477,0.428571,0.6
10,tfidf,0.850213,0.818182,0.9
20,tfidf,0.807744,0.428571,0.6
50,tfidf,0.782981,0.5625,0.72
5,bbidf,0.902024,0.666667,0.8
10,bbidf,0.874052,0.818182,0.9
20,bbidf,0.852048,0.6,0.75
50,bbidf,0.839225,0.639344,0.78
