rank,term,score,score_raw,in_gold
1,turístico,0.619647,586.144948,true
2,turismo,0.364253,344.559733,true
3,desarrollo,0.186248,176.178167,false
4,chachapoyas,0.160349,151.679976,false
5,actitud,0.157907,149.369897,true
6,cultura,0.150456,142.321628,true
7,sostenible,0.150198,142.077293,true
8,porcentaje,0.141654,133.995452,false
9,ciudad,0.135872,128.52625,false
10,población,0.123505,116.827155,false
11,recuperado,0.113465,107.329974,false
12,comportamiento,0.101463,95.976951,true
13,planificación,0.101308,95.830334,false
14,comunidad,0.085014,80.417858,false
15,válido,0.083344,78.838209,false
16,actividad,0.077868,73.658416,false
17,destino,0.075163,71.099627,false
18,conocimiento,0.073654,69.67216,true
19,poblador,0.067256,63.619894,false
20,pregunta,0.066391,62.801323,false
21,conciencia,0.064837,61.331414,false
22,mincetur,0.0636,60.161223,false
23,ayudar,0.060785,57.4982,false
24,turista,0.058772,55.594386,false
25,gonzález,0.057979,54.843972,false
26,social,0.056253,53.211631,false
27,dimensión,0.054559,51.609008,false
28,privado,0.053113,50.241059,false
29,compromiso,0.05268,49.831773,false
30,distrito,0.052036,49.222819,false
31,gestión,0.051707,48.911855,false
32,presentar,0.049503,46.826236,false
33,sostenibilidad,0.049338,46.670762,false
34,ambiental,0.049149,46.491461,false
35,local,0.047884,45.295277,false
36,actor,0.047108,44.560727,false
37,asimismo,0.046562,44.044542,false
38,nivel,0.04635,43.844295,false
39,acumulado,0.044575,42.165347,false
40,residente,0.044575,42.165347,false
41,sector,0.042752,40.44084,false
42,impacto,0.042316,40.027958,false
43,público,0.041858,39.595311,false
44,recurso,0.041858,39.595311,false
45,problemática,0.040523,38.332133,false
46,referir,0.040523,38.332133,false
47,adecuado,0.040087,37.919994,false
48,contribuir,0.039965,37.804182,false
49,cultural,0.038252,36.183909,false
50,percepción,0.038191,36.126305,false
