rank,term,score,score_raw,in_gold
1,turístico,0.48196,36.910187,true
2,turismo,0.388322,29.739073,true
3,población,0.213583,16.356912,false
4,desarrollo,0.209633,16.054416,false
5,cultura,0.188016,14.398906,true
6,chachapoyas,0.179543,13.75001,false
7,sostenible,0.178338,13.657736,true
8,ciudad,0.152019,11.642178,false
9,actividad,0.129078,9.885273,false
10,comunidad,0.125646,9.622402,false
11,porcentaje,0.104843,8.029223,false
12,actitud,0.093126,7.131924,true
13,recuperado,0.092807,7.107502,false
14,social,0.088105,6.74742,false
15,turista,0.082045,6.283312,false
16,destino,0.08188,6.270644,false
17,planificación,0.079575,6.094106,false
18,comportamiento,0.078391,6.003433,true
19,poblador,0.078388,6.003222,false
20,conocimiento,0.075615,5.79083,true
21,nivel,0.075166,5.756502,false
22,mincetur,0.074223,5.684241,false
23,local,0.071398,5.467877,false
24,presentar,0.068651,5.257556,false
25,persona,0.066548,5.096462,false
26,gestión,0.066547,5.096376,false
27,dimensión,0.064559,4.944131,false
28,pregunta,0.063582,4.869338,false
29,válido,0.062926,4.819092,false
30,impacto,0.060665,4.645946,false
31,ambiental,0.060561,4.637942,false
32,cultural,0.06019,4.609565,false
33,sector,0.060096,4.602337,false
34,asimismo,0.059763,4.576881,false
35,económico,0.058675,4.493514,false
36,recurso,0.05864,4.490869,false
37,distrito,0.055774,4.271402,false
38,región,0.054909,4.205086,false
39,generar,0.053955,4.132062,false
40,objetivo,0.053803,4.120397,false
41,tabla,0.052814,4.044671,false
42,público,0.052737,4.038768,false
43,investigación,0.051247,3.924657,false
44,importante,0.050913,3.899112,false
45,visitante,0.050205,3.844853,false
46,sostenibilidad,0.04997,3.826913,false
47,gonzález,0.049784,3.812598,false
48,año,0.049694,3.805736,false
49,calidad,0.049623,3.800295,false
50,contribuir,0.047887,3.667315,false
