k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.889563,1.0,1.0
10,tfidf,0.845564,0.538462,0.7
20,tfidf,0.844071,0.73913,0.85
50,tfidf,0.840929,0.612903,0.76
5,bbidf,0.825477,0.428571,0.6
10,bbidf,0.818562,0.666667,0.8
20,bbidf,0.825688,0.818182,0.9
50,bbidf,0.824863,0.639344,0.78
