algoritmo,metric,value
tfidf,n_retrieved,723.0
tfidf,n_gold,6.0
tfidf,P@5,0.2
tfidf,R@5,0.166667
tfidf,F1@5,0.181818
tfidf,nDCG@5,0.33916
tfidf,P@10,0.3
tfidf,R@10,0.5
tfidf,F1@10,0.375
tfidf,nDCG@10,0.505852
tfidf,P@20,0.25
tfidf,R@20,0.833333
tfidf,F1@20,0.384615
tfidf,nDCG@20,0.651119
tfidf,P@50,0.12
tfidf,R@50,1.0
tfidf,F1@50,0.214286
tfidf,nDCG@50,0.718014
tfidf,AP,0.41814
tfidf,MRR,1.0
bbidf,n_retrieved,723.0
bbidf,n_gold,6.0
bbidf,P@5,0.4
bbidf,R@5,0.333333
bbidf,F1@5,0.363636
bbidf,nDCG@5,0.345191
bbidf,P@10,0.3
bbidf,R@10,0.5
bbidf,F1@10,0.375
bbidf,nDCG@10,0.399076
bbidf,P@20,0.2
bbidf,R@20,0.666667
bbidf,F1@20,0.307692
bbidf,nDCG@20,0.480851
bbidf,P@50,0.12
bbidf,R@50,1.0
bbidf,F1@50,0.214286
bbidf,nDCG@50,0.608868
bbidf,AP,0.332906
bbidf,MRR,0.5
textrank,n_retrieved,723.0
textrank,n_gold,6.0
textrank,P@5,0.2
textrank,R@5,0.166667
textrank,F1@5,0.181818
textrank,nDCG@5,0.16958
textrank,P@10,0.2
textrank,R@10,0.333333
textrank,F1@10,0.25
textrank,nDCG@10,0.238773
textrank,P@20,0.2
textrank,R@20,0.666667
textrank,F1@20,0.307692
textrank,nDCG@20,0.389487
textrank,P@50,0.08
textrank,R@50,0.666667
textrank,F1@50,0.142857
textrank,nDCG@50,0.389487
textrank,AP,0.194641
textrank,MRR,0.333333
