k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.613875,0.666667,0.8
10,tfidf,0.637918,0.666667,0.8
20,tfidf,0.658711,0.538462,0.7
50,tfidf,0.665396,0.639344,0.78
5,bbidf,0.858069,0.666667,0.8
10,bbidf,0.800632,0.666667,0.8
20,bbidf,0.818767,0.73913,0.85
50,bbidf,0.81569,0.694915,0.82
